상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,합
28516812,빽다방공덕새창로점,공덕새창로점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144058500,도화동,1144010400,도화동,1.14E+18,1,대지,25,5,서울특별시 마포구 도화동 25-5,1.14E+11,서울특별시 마포구 새창로,15,1,1.14E+24,,서울특별시 마포구 새창로 15-1,121812,4169,,1,,126.9518216,37.54222806,5
25346931,빽다방서초우성점,서초우성점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165052000,서초2동,1165010800,서초동,1.17E+18,1,대지,1329,9,서울특별시 서초구 서초동 1329-9,1.17E+11,서울특별시 서초구 사임당로,181,,1.17E+24,,서울특별시 서초구 사임당로 181,137070,6626,,1,,127.0293055,37.4930262,6
15655401,빽다방잠실장미상가,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171071000,잠실6동,1171010200,신천동,1.17E+18,1,대지,7,,서울특별시 송파구 신천동 7,1.17E+11,서울특별시 송파구 올림픽로35길,104,,1.17E+24,장미아파트,서울특별시 송파구 올림픽로35길 104,138796,5504,,,,127.099289,37.51981032,8
28450254,빽다방중계은행사거리점,중계은행사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11350,노원구,1135062100,중계1동,1135010600,중계동,1.14E+18,1,대지,360,11,서울특별시 노원구 중계동 360-11,1.14E+11,서울특별시 노원구 한글비석로,235,,1.14E+24,하나프라자빌딩,서울특별시 노원구 한글비석로 235,139220,1743,,1,,127.0763272,37.64878886,6
25368024,빽다방성신여대점,성신여대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129057500,동선동,1129011600,동선동1가,1.13E+18,1,대지,2,12,서울특별시 성북구 동선동1가 2-12,1.13E+11,서울특별시 성북구 동소문로20나길,3,,1.13E+24,,서울특별시 성북구 동소문로20나길 3,136051,2845,,1,,127.0167663,37.59196568,7
25364101,빽다방신림역1호점,신림역1호점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162064500,서원동,1162010200,신림동,1.16E+18,1,대지,1639,8,서울특별시 관악구 신림동 1639-8,1.16E+11,서울특별시 관악구 남부순환로,1592,,1.16E+24,,서울특별시 관악구 남부순환로 1592,151930,8776,,1,,126.9275723,37.48368563,7
12438246,빽다방,방이역코오롱점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171056100,방이1동,1171011100,방이동,1.17E+18,1,대지,208,1,서울특별시 송파구 방이동 208-1,1.17E+11,서울특별시 송파구 마천로,25,,1.17E+24,,서울특별시 송파구 마천로 25,138835,5639,,,,127.123888,37.50967823,8
12425857,빽다방,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1.17E+18,1,대지,826,14,서울특별시 강남구 역삼동 826-14,1.17E+11,서울특별시 강남구 강남대로,358,,1.17E+24,삼성생명역삼동빌딩,서울특별시 강남구 강남대로 358,135769,6241,,20,,127.0297769,37.49504844,10
23674574,빽다방방화사거리점,방화사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010900,방화동,1.15E+18,1,대지,483,5,서울특별시 강서구 방화동 483-5,1.15E+11,서울특별시 강서구 금낭화로,91,2,1.15E+24,대승프라자,서울특별시 강서구 금낭화로 91-2,157220,7516,,1,,126.811063,37.57363808,8
12451641,빽다방이태원점,이태원점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11170,용산구,1117065000,이태원1동,1117013000,이태원동,1.12E+18,1,대지,66,8,서울특별시 용산구 이태원동 66-8,1.12E+11,서울특별시 용산구 보광로59길,37,,1.12E+24,,서울특별시 용산구 보광로59길 37,140863,4391,,1,,126.9918575,37.53380046,3
11797256,빽다방,반포고투몰점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165058100,반포4동,1165010700,반포동,1.17E+18,1,대지,19,3,서울특별시 서초구 반포동 19-3,1.17E+11,서울특별시 서초구 신반포로,176,,1.17E+24,센트럴시티빌딩,서울특별시 서초구 신반포로 176,137726,6546,,,,127.0023932,37.50393001,6
