상가업소번호,상호명=스타벅스,지점명,시군구코드,시군구명,"강남,서초,송파=1"
20585779,1,동숭로아트점,11110,종로구,0
20015708,1,남부터미널2점,11650,서초구,1
22934175,1,가로수길점,11680,강남구,1
28520216,1,미아사거리역점,11305,강북구,0
23320126,1,당산점,11560,영등포구,0
23375653,1,중랑구청점,11260,중랑구,0
23456329,1,문래역점,11560,영등포구,0
23455005,1,서강대점,11440,마포구,0
16095836,1,봉은사로선정릉점,11680,강남구,1
16129812,1,방배다이치빌딩점,11650,서초구,1
20385969,1,뉴코아강남점,11650,서초구,1
20585052,1,영풍문고점,11110,종로구,0
23224039,1,청담점,11680,강남구,1
20830249,1,구로디지털로점,11530,구로구,0
20405237,1,연신내역,11380,은평구,0
23517515,1,파미에파크점,11650,서초구,1
20675651,1,구로에이스트윈타워1점,11530,구로구,0
20316406,1,종로관수점,11110,종로구,0
20430267,1,논현현힐탑,11680,강남구,1
23264112,1,발산역점,11500,강서구,0
20482725,1,포이점,11680,강남구,1
25449246,1,을지로입구,11140,중구,0
23197283,1,교대역점,11650,서초구,1
20691462,1,방배역점,11650,서초구,1
16219813,1,양재강남빌딩R점,11680,강남구,1
20675102,1,이마빌딩점,11110,종로구,0
16219933,1,마곡사이언스타워R점,11500,강서구,0
25798424,1,소공로북창점,11140,중구,0
25885860,1,IFC몰점,11560,영등포구,0
25467314,1,신사역점,11680,강남구,1
25730277,1,고대프라자점,11290,성북구,0
25850418,1,황학캐슬점,11140,중구,0
23097527,1,순천향입구점,11170,용산구,0
19969315,1,서울대입구역점,11620,관악구,0
20391638,1,강남구청역점,11680,강남구,1
23369079,1,등촌점,11500,강서구,0
12088372,1,신세계본점,11140,중구,0
19999786,1,신림점,11620,관악구,0
23321462,1,역삼초교사거리점,11680,강남구,1
19983721,1,문화일보점,11140,중구,0
12111408,1,화곡DT점,11500,강서구,0
12111546,1,마포염리점,11440,마포구,0
23003316,1,상일동점,11740,강동구,0
20386874,1,여의도점,11560,영등포구,0
20006883,1,강남삼성타운점,11650,서초구,1
20025735,1,구역삼세무서점,11680,강남구,1
20672066,1,광화문점,11110,종로구,0
20250808,1,안암역점,11290,성북구,0
12108712,1,남영동점,11170,용산구,0
25585003,1,도산가로수길점,11680,강남구,1
20598319,1,마로니에공원점,11110,종로구,0
19972853,1,동빙고점,11170,용산구,0
20379604,1,숭실대점,11590,동작구,0
20478915,1,문래동점,11560,영등포구,0
20254764,1,구산역점,11380,은평구,0
20017739,1,신세계도곡점,11680,강남구,1
19963699,1,신촌점,11410,서대문구,0
19989827,1,신세계아이엔씨점,11530,구로구,0
23473401,1,구의디티점,11215,광진구,0
12228306,1,동대입구역점,11140,중구,0
20025300,1,역삼역점,11680,강남구,1
23316524,1,강남GT타워점,11650,서초구,1
23425176,1,삼청동점,11110,종로구,0
20385282,1,상암DMC센트럴몰점,11440,마포구,0
19991021,1,천호역점,11740,강동구,0
20859743,1,광나루점,11215,광진구,0
25238580,1,건대입구점,11215,광진구,0
23518983,1,길동역점,11740,강동구,0
20005051,1,반포역점,11650,서초구,1
12419898,1,여의도공원점,11560,영등포구,0
20424762,1,강남비젼타워점,11680,강남구,1
12434847,1,신사가로수점,11680,강남구,1
20078185,1,홍대삼거리점,11440,마포구,0
20494370,1,광장점,11215,광진구,0
12338982,1,청담스타점,11680,강남구,1
25521592,1,합정메세나몰점,11440,마포구,0
19969833,1,신촌명물거리점,11410,서대문구,0
20023241,1,롯데캐슬여의도점,11560,영등포구,0
20392259,1,홍대갤러리점,11440,마포구,0
12341891,1,목동8단지점,11470,양천구,0
20277853,1,구로호텔점,11530,구로구,0
23213262,1,석촌호수점,11710,송파구,1
20088846,1,가양이마트점,11500,강서구,0
20783862,1,목동5단지점,11470,양천구,0
12449801,1,이촌역점,11170,용산구,0
19998801,1,경복궁역,11110,종로구,0
20028687,1,대치점,11680,강남구,1
20389762,1,광운대점,11350,노원구,0
20295450,1,교대법원점,11650,서초구,1
12338690,1,영등포KT점,11560,영등포구,0
23087924,1,신당역점,11140,중구,0
20607525,1,대치역점,11680,강남구,1
12421780,1,방배카페골목점,11650,서초구,1
20093795,1,아시아선수촌점,11710,송파구,1
12452096,1,서강대흥역점,11440,마포구,0
25747966,1,랜드마크점,11680,강남구,1
25717950,1,KBS동문점,11560,영등포구,0
11805472,1,서교동사거리점,11440,마포구,0
25744200,1,코엑스사거리점,11680,강남구,1
23513141,1,올림픽공원남문점,11710,송파구,1
25729943,1,삼성서울병원점,11680,강남구,1
11798770,1,역삼럭키점,11680,강남구,1
12663177,1,목동역점,11470,양천구,0
23454449,1,양재역점,11650,서초구,1
25885467,1,제일은행본점,11110,종로구,0
20378251,1,신압구정점,11680,강남구,1
23690558,1,명동중앙로,11140,중구,0
16594718,1,묵동점,11260,중랑구,0
25727479,1,경복궁역점,11110,종로구,0
16598133,1,강동암사DT점,11740,강동구,0
23327197,1,서울역동자동점,11170,용산구,0
16602466,1,방배로점,11650,서초구,1
16606565,1,서울숲역점,11200,성동구,0
25750759,1,경기빌딩점,11140,중구,0
25755425,1,광나루역점,11215,광진구,0
16600722,1,서울역서부점,11170,용산구,0
25742491,1,역삼이마트점,11680,강남구,1
20545007,1,가락시장역점,11710,송파구,1
16604663,1,강북삼성병원점,11110,종로구,0
20586146,1,외대점,11230,동대문구,0
16607287,1,공릉DT점,11350,노원구,0
16607316,1,발산역사거리점,11500,강서구,0
16593971,1,어린이대공원역점,11215,광진구,0
25815591,1,홍대역점,11440,마포구,0
16602856,1,숭례문북창점,11140,중구,0
25380284,1,광화문역점,11110,종로구,0
16607096,1,월계역점,11350,노원구,0
16728063,1,미아이마트점,11290,성북구,0
16598031,1,상계초교사거리점,11350,노원구,0
16731214,1,목동트라팰리스점,11470,양천구,0
25869602,1,명동역점,11140,중구,0
16608327,1,가재울뉴타운점,11410,서대문구,0
20585861,1,을지로입구역점,11140,중구,0
16729587,1,동국대점,11140,중구,0
25683194,1,뉴코아반포점,11650,서초구,1
16729311,1,목동파리공원점,11470,양천구,0
16729269,1,서강대프라자점,11440,마포구,0
25331864,1,연세백양로점,11410,서대문구,0
16730931,1,국립중앙의료원점,11140,중구,0
11605582,1,이마트본사점,11200,성동구,0
25820804,1,건대병원점,11215,광진구,0
16726920,1,강동구청DT점,11740,강동구,0
16726915,1,영등포역점,11560,영등포구,0
16726914,1,샛강역점,11560,영등포구,0
16726897,1,창동이마트점,11320,도봉구,0
16726913,1,상암YTN점,11440,마포구,0
16726930,1,당산대로점,11560,영등포구,0
25896387,1,월드컵경기장점,11440,마포구,0
16728746,1,남성역점,11590,동작구,0
16727172,1,낙성대역점,11620,관악구,0
16727116,1,국기원사거리점,11680,강남구,1
20469319,1,W-MALL점,11545,금천구,0
16726801,1,길음역점,11290,성북구,0
16726815,1,을지로4가역점,11140,중구,0
25797473,1,역삼점,11680,강남구,1
16728251,1,노량진동점,11590,동작구,0
23453575,1,사가정역점,11260,중랑구,0
23208222,1,쌍문역점,11320,도봉구,0
16731364,1,아차산역점,11215,광진구,0
16730041,1,역삼아레나빌딩점,11680,강남구,1
16730010,1,불광역점,11380,은평구,0
19985562,1,무교동점,11140,중구,0
23196601,1,서초파라곤점,11650,서초구,1
20410420,1,종로평창,11110,종로구,0
16730050,1,경희궁로점,11110,종로구,0
25819316,1,가산그레이트점,11545,금천구,0
19980329,1,올리브타워점,11140,중구,0
25902757,1,압구정로데오역점,11680,강남구,1
20014791,1,망원역점,11440,마포구,0
23217077,1,금천독산점,11545,금천구,0
19973242,1,가산디지털단지점,11545,금천구,0
19986237,1,태평로점,11140,중구,0
20699038,1,압구정2점,11680,강남구,1
20880708,1,잠실점,11710,송파구,1
11891977,1,상봉점,11260,중랑구,0
20009577,1,영동2교점,11650,서초구,1
23279894,1,강변역점,11215,광진구,0
22800473,1,노원케이티점,11350,노원구,0
25233075,1,오목교역점,11470,양천구,0
20670881,1,숭례문점,11140,중구,0
25274618,1,송파사거리점,11710,송파구,1
20387844,1,영등포본동점,11560,영등포구,0
25222901,1,서교점,11440,마포구,0
20088322,1,한성대입구역점,11290,성북구,0
25808541,1,강남에비뉴점,11650,서초구,1
8732315,1,오류동역점,11530,구로구,0
25782510,1,써머셋팰리스,11110,종로구,0
14529649,1,올림픽대교북단점,11215,광진구,0
11814539,1,동묘앞역점,11110,종로구,0
16308823,1,대치대원빌딩R점,11680,강남구,1
11765466,1,포스코사거리점,11680,강남구,1
20007418,1,강남II점,11650,서초구,1
25643095,1,석촌역점,11710,송파구,1
20675839,1,연대점,11410,서대문구,0
25736044,1,연신내역점,11380,은평구,0
8733567,1,평창점,11110,종로구,0
11915099,1,선유도역점,11560,영등포구,0
11707694,1,종암점,11290,성북구,0
23252438,1,여의도알리안츠점,11560,영등포구,0
11912877,1,한국프레스센터점,11140,중구,0
