상권_코드,상권_코드_명,id,구,총_유동인구_수,2020_총_유동인구_수_합격(상권코드),2019_총_유동인구_수_합격(상권코드),2018_총_유동인구_수_합격(상권코드)
1001010,풍성로37가길,18,송파구,9692443,38484755,39778747,10313459
1001009,천호옛길,2,강동구,8798709,35243241,36830225,11787651
1001008,천호옛14길,2,강동구,7345107,28912331,30301127,13523880
1001007,천호대로219길,2,강동구,1425329,5295936,4213537,658988
1001006,천호대로197길,2,강동구,5812854,23213442,22335673,5964018
1001005,천호대로187길,2,강동구,6416679,25770498,27058583,10806600
1001004,천호대로170길,2,강동구,10638967,43285695,44219355,13387428
1001003,천호대로162길,2,강동구,9881040,38881399,39699565,13598766
1001002,천중로51길,2,강동구,8436611,32826473,32293323,9765929
1001001,천중로39길,2,강동구,9787553,39763748,41263621,10154940
1001000,진황도로47길,2,강동구,5775526,23449235,25340585,13575495
1000999,진황도로27길,2,강동구,10034567,41696794,42717855,13051519
1000998,올림픽로98길,18,송파구,8187391,32034041,30080028,8831403
1000997,올림픽로80길,18,송파구,3999803,16606943,17191683,5775318
1000996,올림픽로78길,18,송파구,3832525,15701469,15811430,6392426
1000995,올림픽로77길,18,송파구,4786824,20392555,20065628,7355406
1000994,올림픽로71길,18,송파구,4346883,19033021,20561808,7972054
1000993,올림픽로48길,18,송파구,3762838,15316975,14730859,5032598
1000992,양재대로96길,15,서초구,6274310,26070149,25412343,6728008
1000991,양재대로95길,15,서초구,8487732,36609338,37217416,9563836
1000990,양재대로91길,15,서초구,6470117,27642379,27921747,6748517
1000989,양재대로133길,15,서초구,7922166,37827976,46429224,12020429
1000988,양재대로124길,15,서초구,8725003,33389999,29973575,8562424
1000987,양재대로116길,15,서초구,5271778,21335101,22033866,10304427
1000986,양재대로101길,15,서초구,8994751,38126491,41103516,14625145
1000985,암사길,2,강동구,8198604,40560178,49469292,9602056
1000984,성안로3길,2,강동구,4469972,18347703,17919573,5662129
1000983,성내로5길,2,강동구,8668736,34310149,35267842,9818572
1000982,상일로5길,2,강동구,1800216,6200163,4466886,812860
1000981,상암로5길,2,강동구,5220606,20909625,19646796,7984641
1000980,상암로51길,2,강동구,5430918,22029575,24074112,9732344
1000979,상암로4길,2,강동구,5654075,22406319,20691901,7255247
1000978,상암로14길,2,강동구,7196364,27525849,25621500,8048573
1000977,명일로13길,2,강동구,6307127,25506438,25643161,7133852
1000976,동남로85길,18,송파구,1836987,6885585,4931736,1814872
1000975,동남로82길,18,송파구,1077239,4004669,2804559,214289
1000974,동남로65길,18,송파구,1088057,4253949,4608049,1334845
1000973,구천면로42길,2,강동구,10454010,52846193,62155145,10728779
1000972,구천면로41길,2,강동구,9688786,45707446,48945292,10163676
1000971,구천면로36길,2,강동구,8221569,35031178,33002485,6858473
1000970,고덕로61길,2,강동구,2008734,7310107,4778302,1910549
1000969,고덕로25길,2,강동구,2408923,9214523,8941302,2118682
1000968,고덕로10길,2,강동구,6155512,24099441,21807612,8381796
1000967,강동대로53길,2,강동구,3971822,15782030,15827165,5247791
1000966,풍성로25길,18,송파구,6493564,25279969,27321543,7711838
1000965,오금로46길,18,송파구,5093640,22419094,21476463,4851866
1000964,오금로36길,18,송파구,3910370,16195489,16925993,4667305
1000963,오금로11길,18,송파구,6453146,26613025,27402787,10766578
1000962,양재대로72길,15,서초구,3345603,13637979,12950371,3867004
1000961,양재대로71길,15,서초구,3586318,14843421,15017277,4823186
1000960,양재대로64길,15,서초구,5000752,20608262,21203368,7317630
1000959,양재대로62길,15,서초구,3451251,13901349,13990126,5202217
1000958,송파대로30길,18,송파구,4323620,17653843,17546551,7352221
1000957,송이로36길,18,송파구,4148942,17657445,18458256,6510581
1000956,송이로32길,18,송파구,5702012,22999583,23187982,6271455
1000955,송이로23길,18,송파구,4906271,19256470,19267105,5642364
1000954,삼전로13길,18,송파구,7288863,31350855,32846164,11266244
1000953,백제고분로50길,18,송파구,5499348,22463855,22269819,5775952
1000952,백제고분로46길,18,송파구,4943172,20595129,20136538,6715188
1000951,백제고분로45길,18,송파구,5889428,23994076,24367719,7971538
1000950,백제고분로42길,18,송파구,4930469,18761148,17846137,6051449
1000949,백제고분로39길,18,송파구,4339151,17102645,17573380,5504687
1000948,백제고분로34길,18,송파구,5267902,21622221,19191510,3639555
1000947,백제고분로33길,18,송파구,5669071,23517260,22273991,5664125
1000946,백제고분로32길,18,송파구,4334826,17473229,16552637,3278201
1000945,백제고분로31길,18,송파구,6727255,28568124,27741472,8927315
1000944,백제고분로22길,18,송파구,4257764,17312343,16237029,3553289
1000943,백제고분로21길,18,송파구,5098324,22340731,22824133,7830032
1000942,마천로51길,18,송파구,5797973,20661209,19224632,3876107
1000941,동남로20길,18,송파구,4877272,20825167,20857402,5929637
1000940,거마로20길,18,송파구,5543774,21960838,21676163,4401357
1000939,학동로77길,1,강남구,3909208,15918683,15099922,4956576
1000938,학동로6길,1,강남구,4204012,18052501,18072542,5985645
1000937,학동로56길,1,강남구,6023917,24541108,24018759,11355162
1000936,학동로38길,1,강남구,3628839,14216762,13868624,6609749
1000935,테헤란로81길,1,강남구,2394154,10011940,11210861,6682764
1000934,일원로9길,1,강남구,3607530,14305212,15065910,4522796
1000933,일원로3길,1,강남구,3849639,15416180,15925143,4881027
1000932,영동대로65길,1,강남구,4175568,17489690,17861163,7127079
1000931,영동대로112길,1,강남구,1648470,7280077,8385892,4352287
1000930,언주로81길,1,강남구,6387206,26448671,26549954,13104923
1000929,압구정로2길,1,강남구,3199302,13800176,14549625,7920818
1000928,선릉로18길,1,강남구,949507,3734395,3434763,818105
1000927,선릉로146길,1,강남구,4187298,17134196,16029443,6492599
1000926,선릉로133길,1,강남구,4912092,19863369,19150958,10061216
1000925,선릉로132길,1,강남구,6554681,26746835,25289482,11238253
1000924,선릉로121길,1,강남구,4779857,19968675,20739160,9902257
1000923,삼성로75길,1,강남구,7050002,29011929,27868302,12689700
1000922,삼성로69길,1,강남구,6454369,26585454,26066007,9729237
1000921,삼성로64길,1,강남구,4055834,16199924,15988596,6509358
1000920,삼성로63길,1,강남구,6028388,24526584,24261430,10285305
1000919,삼성로57길,1,강남구,5253750,20862847,19601718,8273548
1000918,삼성로147길,1,강남구,3865778,15911858,14903898,5609015
1000917,삼성로115길,1,강남구,3956518,16482939,15158905,4658618
1000916,봉은사로68길,1,강남구,3689705,15209804,14586335,6288864
1000915,봉은사로57길,1,강남구,3582447,15098195,15506183,5667530
1000914,봉은사로43길,1,강남구,5650636,23308445,23227221,9270309
1000913,봉은사로29길,1,강남구,5949088,23532112,22416719,12166388
1000912,봉은사로109길,1,강남구,1849785,8296341,9692853,4180848
1000911,도산대로89길,1,강남구,2788286,11234079,10396635,3039131
1000910,도산대로81길,1,강남구,2842170,11275123,10623116,4197297
1000909,도산대로50길,1,강남구,4320219,17782233,17380384,8934362
1000908,도산대로38길,1,강남구,2293309,9754037,9689637,5056586
1000907,도산대로30길,1,강남구,2546282,10779586,10930285,5097102
1000906,도산대로23길,1,강남구,3579517,14484931,14565279,6568707
1000905,도산대로15길,1,강남구,3700107,15054232,14986556,6988766
1000904,도곡로37길,1,강남구,5783167,23940348,23448159,8181787
1000903,논현로8길,1,강남구,2097261,8381938,7873947,1769817
1000902,논현로63길,1,강남구,4388544,18238010,17790589,6650699
1000901,논현로28길,1,강남구,2753984,11519226,11464745,4733478
1000900,논현로26길,1,강남구,2813838,11429125,11441778,4962340
