상권_코드,상권_코드_명,id,구,2020_총_유동인구_수_합계(상권코드),2019_총_유동인구_수_합계(상권코드),2018_총_유동인구_수_합계(상권코드),,,,
1001010,풍성로37가길,18,송파구,9621189,9944687,2578365,,,,
1001009,천호옛길,2,강동구,8810810,9207556,2946913,,,,
1001008,천호옛14길,2,강동구,7228083,7575282,3380970,,,강남구,1
1001007,천호대로219길,2,강동구,1323984,1053384,164747,,,강동구,2
1001006,천호대로197길,2,강동구,5803361,5583918,1491005,,,강북구,3
1001005,천호대로187길,2,강동구,6442625,6764646,2701650,,,강서구,4
1001004,천호대로170길,2,강동구,10821424,11054839,3346857,,,관악구,5
1001003,천호대로162길,2,강동구,9720350,9924891,3399692,,,광진구,6
1001002,천중로51길,2,강동구,8206618,8073331,2441482,,,구로구,7
1001001,천중로39길,2,강동구,9940937,10315905,2538735,,,금천구,8
1001000,진황도로47길,2,강동구,5862309,6335146,3393874,,,노원구,9
1000999,진황도로27길,2,강동구,10424199,10679464,3262880,,,도붕구,10
1000998,올림픽로98길,18,송파구,8008510,7520007,2207851,,,동대문구,11
1000997,올림픽로80길,18,송파구,4151736,4297921,1443830,,,동작구,12
1000996,올림픽로78길,18,송파구,3925367,3952858,1598107,,,마포구,13
1000995,올림픽로77길,18,송파구,5098139,5016407,1838852,,,서대문구,14
1000994,올림픽로71길,18,송파구,4758255,5140452,1993014,,,서초구,15
1000993,올림픽로48길,18,송파구,3829244,3682715,1258150,,,성동구,16
1000992,양재대로96길,15,서초구,6517537,6353086,1682002,,,성북구,17
1000991,양재대로95길,15,서초구,9152335,9304354,2390959,,,송파구,18
1000990,양재대로91길,15,서초구,6910595,6980437,1687129,,,양천구,19
1000989,양재대로133길,15,서초구,9456994,11607306,3005107,,,영등포구,20
1000988,양재대로124길,15,서초구,8347500,7493394,2140606,,,용산구,21
1000987,양재대로116길,15,서초구,5333775,5508467,2576107,,,은평구,22
1000986,양재대로101길,15,서초구,9531623,10275879,3656286,,,종로구,23
1000985,암사길,2,강동구,10140045,12367323,2400514,,,중구,24
1000984,성안로3길,2,강동구,4586926,4479893,1415532,,,중랑구,25
1000983,성내로5길,2,강동구,8577537,8816961,2454643,,,,
1000982,상일로5길,2,강동구,1550041,1116722,203215,,,,
1000981,상암로5길,2,강동구,5227406,4911699,1996160,,,,
1000980,상암로51길,2,강동구,5507394,6018528,2433086,,,,
1000979,상암로4길,2,강동구,5601580,5172975,1813812,,,,
1000978,상암로14길,2,강동구,6881462,6405375,2012143,,,,
1000977,명일로13길,2,강동구,6376610,6410790,1783463,,,,
1000976,동남로85길,18,송파구,1721396,1232934,453718,,,,
1000975,동남로82길,18,송파구,1001167,701140,53572,,,,
1000974,동남로65길,18,송파구,1063487,1152012,333711,,,,
1000973,구천면로42길,2,강동구,13211548,15538786,2682195,,,,
1000972,구천면로41길,2,강동구,11426862,12236323,2540919,,,,
1000971,구천면로36길,2,강동구,8757795,8250621,1714618,,,,
1000970,고덕로61길,2,강동구,1827527,1194576,477637,,,,
1000969,고덕로25길,2,강동구,2303631,2235326,529671,,,,
1000968,고덕로10길,2,강동구,6024860,5451903,2095449,,,,
1000967,강동대로53길,2,강동구,3945508,3956791,1311948,,,,
1000966,풍성로25길,18,송파구,6319992,6830386,1927960,,,,
1000965,오금로46길,18,송파구,5604774,5369116,1212967,,,,
1000964,오금로36길,18,송파구,4048872,4231498,1166826,,,,
1000963,오금로11길,18,송파구,6653256,6850697,2691645,,,,
1000962,양재대로72길,15,서초구,3409495,3237593,966751,,,,
1000961,양재대로71길,15,서초구,3710855,3754319,1205797,,,,
1000960,양재대로64길,15,서초구,5152066,5300842,1829408,,,,
1000959,양재대로62길,15,서초구,3475337,3497532,1300554,,,,
1000958,송파대로30길,18,송파구,4413461,4386638,1838055,,,,
1000957,송이로36길,18,송파구,4414361,4614564,1627645,,,,
1000956,송이로32길,18,송파구,5749896,5796996,1567864,,,,
1000955,송이로23길,18,송파구,4814118,4816776,1410591,,,,
1000954,삼전로13길,18,송파구,7837714,8211541,2816561,,,,
1000953,백제고분로50길,18,송파구,5615964,5567455,1443988,,,,
1000952,백제고분로46길,18,송파구,5148782,5034135,1678797,,,,
1000951,백제고분로45길,18,송파구,5998519,6091930,1992885,,,,
1000950,백제고분로42길,18,송파구,4690287,4461534,1512862,,,,
1000949,백제고분로39길,18,송파구,4275661,4393345,1376172,,,,
1000948,백제고분로34길,18,송파구,5405555,4797878,909889,,,,
1000947,백제고분로33길,18,송파구,5879315,5568498,1416031,,,,
1000946,백제고분로32길,18,송파구,4368307,4138159,819550,,,,
1000945,백제고분로31길,18,송파구,7142031,6935368,2231829,,,,
1000944,백제고분로22길,18,송파구,4328086,4059257,888322,,,,
1000943,백제고분로21길,18,송파구,5585183,5706033,1957508,,,,
1000942,마천로51길,18,송파구,5165302,4806158,969027,,,,
1000941,동남로20길,18,송파구,5206292,5214351,1482409,,,,
1000940,거마로20길,18,송파구,5490210,5419041,1100339,,,,
1000939,학동로77길,1,강남구,3979671,3774981,1239144,,,,
1000938,학동로6길,1,강남구,4513125,4518136,1496411,,,,
1000937,학동로56길,1,강남구,6135277,6004690,2838791,,,,
1000936,학동로38길,1,강남구,3554191,3467156,1652437,,,,
1000935,테헤란로81길,1,강남구,2502985,2802715,1670691,,,,
1000934,일원로9길,1,강남구,3576303,3766478,1130699,,,,
1000933,일원로3길,1,강남구,3854045,3981286,1220257,,,,
1000932,영동대로65길,1,강남구,4372423,4465291,1781770,,,,
1000931,영동대로112길,1,강남구,1820019,2096473,1088072,,,,
1000930,언주로81길,1,강남구,6612168,6637489,3276231,,,,
1000929,압구정로2길,1,강남구,3450044,3637406,1980205,,,,
1000928,선릉로18길,1,강남구,933599,858691,204526,,,,
1000927,선릉로146길,1,강남구,4283549,4007361,1623150,,,,
1000926,선릉로133길,1,강남구,4965842,4787740,2515304,,,,
1000925,선릉로132길,1,강남구,6686709,6322371,2809563,,,,
1000924,선릉로121길,1,강남구,4992169,5184790,2475564,,,,
1000923,삼성로75길,1,강남구,7252982,6967076,3172425,,,,
1000922,삼성로69길,1,강남구,6646364,6516502,2432309,,,,
1000921,삼성로64길,1,강남구,4049981,3997149,1627340,,,,
1000920,삼성로63길,1,강남구,6131646,6065358,2571326,,,,
1000919,삼성로57길,1,강남구,5215712,4900430,2068387,,,,
1000918,삼성로147길,1,강남구,3977965,3725975,1402254,,,,
1000917,삼성로115길,1,강남구,4120735,3789726,1164655,,,,
1000916,봉은사로68길,1,강남구,3802451,3646584,1572216,,,,
1000915,봉은사로57길,1,강남구,3774549,3876546,1416883,,,,
1000914,봉은사로43길,1,강남구,5827111,5806805,2317577,,,,
1000913,봉은사로29길,1,강남구,5883028,5604180,3041597,,,,
1000912,봉은사로109길,1,강남구,2074085,2423213,1045212,,,,
1000911,도산대로89길,1,강남구,2808520,2599159,759783,,,,
1000910,도산대로81길,1,강남구,2818781,2655779,1049324,,,,
1000909,도산대로50길,1,강남구,4445558,4345096,2233591,,,,
1000908,도산대로38길,1,강남구,2438509,2422409,1264147,,,,
1000907,도산대로30길,1,강남구,2694897,2732571,1274276,,,,
1000906,도산대로23길,1,강남구,3621233,3641320,1642177,,,,
1000905,도산대로15길,1,강남구,3763558,3746639,1747192,,,,
1000904,도곡로37길,1,강남구,5985087,5862040,2045447,,,,
1000903,논현로8길,1,강남구,2095485,1968487,442454,,,,
1000902,논현로63길,1,강남구,4559503,4447647,1662675,,,,
1000901,논현로28길,1,강남구,2879807,2866186,1183370,,,,
1000900,논현로26길,1,강남구,2857281,2860445,1240585,,,,
1000899,논현로159길,1,강남구,3598520,3608722,1909837,,,,
1000898,논현로139길,1,강남구,3778778,3772935,1866561,,,,
1000897,논현로123길,1,강남구,4084340,3858860,968276,,,,
1000896,논현로115길,1,강남구,6311135,6052987,2836184,,,,
1000895,논현로10길,1,강남구,3330397,3243002,758853,,,,
1000894,논현로106길,1,강남구,4157854,3941116,2508139,,,,
1000893,남부순환로365길,18,송파구,4179391,4072164,1440648,,,,
1000892,개포로82길,1,강남구,660263,490686,136704,,,,
1000891,개포로28길,1,강남구,2395755,2728651,798165,,,,
1000890,개포로20길,1,강남구,3593827,3647958,1056082,,,,
1000889,개포로17길,1,강남구,2662533,2928422,987373,,,,
1000888,강남대로140길,1,강남구,3457952,3458518,2189724,,,,
1000887,강남대로136길,1,강남구,4516230,4382167,2169136,,,,
1000886,강남대로118길,1,강남구,4986617,4989969,1735292,,,,
1000885,서초중앙로8길,15,서초구,4375589,4669081,1791843,,,,
1000884,방배중앙로21길,15,서초구,4691954,4573372,1450894,,,,
1000883,효령로72길,15,서초구,3190760,3503424,1419296,,,,
1000882,효령로34길,15,서초구,2050833,2215585,1060254,,,,
1000881,효령로31길,15,서초구,3963845,4013518,1673024,,,,
1000880,효령로23길,15,서초구,3783204,3861174,1629685,,,,
1000879,청두곶길,15,서초구,4873562,5014695,1835163,,,,
1000878,주흥길,15,서초구,5496365,5452622,2432623,,,,
1000877,주흥15길,15,서초구,4983256,4997602,2384487,,,,
1000876,언남길,15,서초구,2702929,2610229,848477,,,,
1000875,신반포로45길,15,서초구,4419595,4516311,2126310,,,,
1000874,서초대로8길,15,서초구,3412095,3496267,1345678,,,,
1000873,서초대로64길,15,서초구,3394965,3906779,1381255,,,,
1000872,서초대로4길,15,서초구,4805326,5206669,3196676,,,,
1000871,서초대로25길,15,서초구,4731398,4696481,1732094,,,,
1000870,서초대로23길,15,서초구,4089304,4118549,1591836,,,,
1000869,서초대로15길,15,서초구,3931600,4026239,1479997,,,,
1000868,사평대로57길,15,서초구,5237505,5268050,3057610,,,,
1000867,사평대로26길,15,서초구,2175238,1973988,585474,,,,
1000866,사평대로22길,15,서초구,3266693,3122468,802778,,,,
1000865,사임당로17길,15,서초구,4241944,5025071,2796684,,,,
1000864,방배로42길,15,서초구,3234934,3320274,1236494,,,,
1000863,방배로35길,15,서초구,4604408,4554460,1591549,,,,
1000862,방배로18길,15,서초구,3350045,3327009,1399572,,,,
1000861,반포대로9길,15,서초구,2925074,2675778,928805,,,,
