id_apart,id_구,구,전용면적_median,전용면적_max,전용면적_min,전용면적_mean,거래금액_median,거래금액_max,거래금액_min,거래금액_mean,면적금액_median,면적금액_max,면적금액_min,면적금액_mean,연도
1,1,강남구,84.9,245.2,12.1,94.34927339,146000,640000,15000,153279.9261,1649,4935,479,1702.486272,2018
2,2,강동구,84.23,244.59,10.3215,77.73633647,61900,170000,7200,65047.53186,824,3934,297,858.3894155,2018
3,3,강북구,84.705,159.28,12.02,77.63055232,42000,89550,8600,42263.48385,536,1170,222,563.4556004,2018
4,4,강서구,82.88,192.22,12.22,74.83247098,50000,134500,8600,53119.60378,706,1650,185,728.966789,2018
5,5,관악구,84.1,170.11,12.21,76.63772443,48000,88000,11000,47146.78754,627,1285,279,642.2261113,2018
6,6,광진구,84.72,235.41,13.83,87.08885071,77500,246000,8000,80394.89312,967,1850,337,946.4567733,2018
7,7,구로구,78.665,180.88,12.49,74.21248584,41700,159000,6000,43346.99343,575,1352,205,595.3773255,2018
8,8,금천구,81.16,150.72,12.04,75.84550989,36500,92000,9000,37864.28388,492,1185,226,516.0873475,2018
9,9,노원구,59.4,154.27,13.0588,65.97317294,36500,111400,8700,38802.62284,588,1595,274,601.7279309,2018
10,10,도봉구,73.89,240.97,13.09,72.33248892,33400,88000,8800,35758.01021,475,1012,185,504.3586929,2018
11,11,동대문구,84.56,181.47,12.58,76.4283958,49500,126800,9500,50771.40437,651,1517,279,693.121538,2018
12,12,동작구,84.796,219.51,12.51,83.59427577,70000,165000,12000,70579.9838,858,1705,214,879.3585313,2018
13,13,마포구,84.69,245.39,12.85,81.24532325,74500,310000,12000,78173.33719,949,2137,361,989.6077498,2018
14,14,서대문구,84.77,242.21,12.08,79.96787462,53000,168000,9200,56374.71981,695,1898,189,727.4295801,2018
15,15,서초구,84.99,395.06,18.2,105.0240948,135000,497000,13500,146858.4205,1297,3648,409,1461.563085,2018
16,16,성동구,84.495,244.57,12.84,79.4610721,78000,480000,13800,81914.5993,1001,3159,408,1048.812522,2018
17,17,성북구,84.71,200.53,13.28,81.2426612,49000,129000,10500,49751.62452,601,1473,188,629.7283027,2018
