,year,id,gu,pop,index,,평균,최소,최대,,id_popul,id_구,구,평균_유동인구_수,연도
0,2020,18,송파구,9692443,0,,1623862.03,124909,3353102,,1,1,강남구,1623862,2018
1,2020,2,강동구,8798709,1,,2108659.574,158031,4364970,,2,2,강동구,2108660,2018
2,2020,2,강동구,7345107,2,,1254046.263,65771,3564793,,3,3,강북구,1254046,2018
3,2020,2,강동구,1425329,3,,1316946.162,255534,3523564,,4,4,강서구,1381137,2018
4,2020,2,강동구,5812854,4,,1817603.225,210973,4636936,,5,5,관악구,1817603,2018
5,2020,2,강동구,6416679,5,,1757562.34,739676,4158724,,6,6,광진구,1813570,2018
6,2020,2,강동구,10638967,6,,1114624.233,124485,2590662,,7,7,구로구,1114624,2018
7,2020,2,강동구,9881040,7,,917901.1552,64755,1731610,,8,8,금천구,917901,2018
8,2020,2,강동구,8436611,8,,1649859.704,638016,3506540,,9,9,노원구,1684053,2018
9,2020,2,강동구,9787553,9,,1534996.734,487566,3681230,,10,10,도봉구,1566538,2018
10,2020,2,강동구,5775526,10,,1609125.274,423297,3858290,,11,11,동대문구,1609125,2018
11,2020,2,강동구,10034567,11,,1825676.207,468349,4356524,,12,12,동작구,1825676,2018
12,2020,18,송파구,8187391,12,,2114718.441,791963,4287655,,13,13,마포구,2202555,2018
13,2020,18,송파구,3999803,13,,1762669.792,391017,4961531,,14,14,서대문구,2141951,2018
14,2020,18,송파구,3832525,14,,1688277.115,536562,3891776,,15,15,서초구,1688277,2018
15,2020,18,송파구,4786824,15,,1542166.104,553748,3329071,,16,16,성동구,1542166,2018
16,2020,18,송파구,4346883,16,,1701839.76,579345,4081449,,17,17,성북구,1701840,2018
17,2020,18,송파구,3762838,17,,1507045.176,50218,2938747,,18,18,송파구,1507045,2018
18,2020,15,서초구,6274310,18,,1005704.258,145015,2592936,,19,19,양천구,1025928,2018
19,2020,15,서초구,8487732,19,,1509472.92,314792,2747205,,20,20,영등포구,1509473,2018
20,2020,15,서초구,6470117,20,,1330587.058,124194,2857668,,21,21,용산구,1330587,2018
21,2020,15,서초구,7922166,21,,1512668.25,896512,2515362,,22,22,은평구,1512668,2018
22,2020,15,서초구,8725003,22,,1352116.345,18422,3486515,,23,23,종로구,1352116,2018
23,2020,15,서초구,5271778,23,,1935100.79,743870,4432174,,24,24,중구,1935101,2018
24,2020,15,서초구,8994751,24,,1812381.819,618358,4142253,,25,25,중랑구,1812382,2018
25,2020,2,강동구,8198604,25,,3911656.258,421961,7085807,,26,1,강남구,3911656,2019
26,2020,2,강동구,4469972,26,,7078998.287,1016432,16367041,,27,2,강동구,7078998,2019
27,2020,2,강동구,8668736,27,,4170297.875,363951,9725353,,28,3,강북구,4170298,2019
28,2020,2,강동구,1800216,28,,4862706.388,1029994,11188730,,29,4,강서구,5005055,2019
29,2020,2,강동구,5220606,29,,5608833.725,1274130,9668277,,30,5,관악구,5608834,2019
30,2020,2,강동구,5430918,30,,5475999.271,1740167,8439112,,31,6,광진구,5475999,2019
31,2020,2,강동구,5654075,31,,3591969.494,828019,8181827,,32,7,구로구,3591969,2019
32,2020,2,강동구,7196364,32,,3124016.957,551376,5335149,,33,8,금천구,3124017,2019
33,2020,2,강동구,6307127,33,,5557405.708,2646647,7926426,,34,9,노원구,5557406,2019
34,2020,18,송파구,1836987,34,,4668820.363,2623814,7434525,,35,10,도봉구,4668820,2019
35,2020,18,송파구,1077239,35,,4321407.077,1990366,7629461,,36,11,동대문구,4321407,2019
36,2020,18,송파구,1088057,36,,4413341.074,1879423,7971926,,37,12,동작구,4413341,2019
37,2020,2,강동구,10454010,37,,4962262.745,2158559,7670590,,38,13,마포구,4962263,2019
38,2020,2,강동구,9688786,38,,5638857.625,1260465,10222369,,39,14,서대문구,5962551,2019
