기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,id,구,총_유동인구_수,2020_총_유동인구_수_평균(상권코드),2019_총_유동인구_수_평균(상권코드),2018_총_유동인구_수_평균(상권코드)
2020,4,1001010,풍성로37가길,18,송파구,9692443,9621189,9944687,2578365
2020,4,1001009,천호옛길,2,강동구,8798709,8810810,9207556,2946913
2020,4,1001008,천호옛14길,2,강동구,7345107,7228083,7575282,3380970
2020,4,1001007,천호대로219길,2,강동구,1425329,1323984,1053384,164747
2020,4,1001006,천호대로197길,2,강동구,5812854,5803361,5583918,1491005
2020,4,1001005,천호대로187길,2,강동구,6416679,6442625,6764646,2701650
2020,4,1001004,천호대로170길,2,강동구,10638967,10821424,11054839,3346857
2020,4,1001003,천호대로162길,2,강동구,9881040,9720350,9924891,3399692
2020,4,1001002,천중로51길,2,강동구,8436611,8206618,8073331,2441482
2020,4,1001001,천중로39길,2,강동구,9787553,9940937,10315905,2538735
2020,4,1001000,진황도로47길,2,강동구,5775526,5862309,6335146,3393874
2020,4,1000999,진황도로27길,2,강동구,10034567,10424199,10679464,3262880
2020,4,1000998,올림픽로98길,18,송파구,8187391,8008510,7520007,2207851
2020,4,1000997,올림픽로80길,18,송파구,3999803,4151736,4297921,1443830
2020,4,1000996,올림픽로78길,18,송파구,3832525,3925367,3952858,1598107
2020,4,1000995,올림픽로77길,18,송파구,4786824,5098139,5016407,1838852
2020,4,1000994,올림픽로71길,18,송파구,4346883,4758255,5140452,1993014
2020,4,1000993,올림픽로48길,18,송파구,3762838,3829244,3682715,1258150
2020,4,1000992,양재대로96길,15,서초구,6274310,6517537,6353086,1682002
2020,4,1000991,양재대로95길,15,서초구,8487732,9152335,9304354,2390959
2020,4,1000990,양재대로91길,15,서초구,6470117,6910595,6980437,1687129
2020,4,1000989,양재대로133길,15,서초구,7922166,9456994,11607306,3005107
2020,4,1000988,양재대로124길,15,서초구,8725003,8347500,7493394,2140606
2020,4,1000987,양재대로116길,15,서초구,5271778,5333775,5508467,2576107
2020,4,1000986,양재대로101길,15,서초구,8994751,9531623,10275879,3656286
2020,4,1000985,암사길,2,강동구,8198604,10140045,12367323,2400514
2020,4,1000984,성안로3길,2,강동구,4469972,4586926,4479893,1415532
2020,4,1000983,성내로5길,2,강동구,8668736,8577537,8816961,2454643
2020,4,1000982,상일로5길,2,강동구,1800216,1550041,1116722,203215
2020,4,1000981,상암로5길,2,강동구,5220606,5227406,4911699,1996160
2020,4,1000980,상암로51길,2,강동구,5430918,5507394,6018528,2433086
2020,4,1000979,상암로4길,2,강동구,5654075,5601580,5172975,1813812
2020,4,1000978,상암로14길,2,강동구,7196364,6881462,6405375,2012143
