,시군구명,빽다방,연도
0,강남구,15,2018
1,강동구,5,2018
2,강북구,1,2018
3,강서구,7,2018
4,관악구,5,2018
5,광진구,5,2018
6,구로구,5,2018
7,금천구,1,2018
8,노원구,5,2018
9,동대문구,6,2018
10,동작구,4,2018
11,마포구,6,2018
12,서대문구,4,2018
13,서초구,7,2018
14,성동구,4,2018
15,성북구,6,2018
16,송파구,10,2018
17,양천구,4,2018
18,영등포구,6,2018
19,용산구,4,2018
20,은평구,6,2018
21,종로구,7,2018
22,중구,7,2018
23,중랑구,2,2018
0,강남구,16,2019
1,강동구,5,2019
2,강북구,1,2019
3,강서구,8,2019
4,관악구,5,2019
5,광진구,5,2019
6,구로구,5,2019
7,금천구,1,2019
8,노원구,5,2019
9,동대문구,5,2019
10,동작구,4,2019
11,마포구,6,2019
12,서대문구,4,2019
13,서초구,9,2019
14,성동구,4,2019
15,성북구,6,2019
16,송파구,11,2019
17,양천구,4,2019
18,영등포구,6,2019
19,용산구,4,2019
20,은평구,6,2019
21,종로구,7,2019
22,중구,7,2019
23,중랑구,2,2019
0,강남구,11,2020
1,강동구,7,2020
2,강북구,2,2020
3,강서구,10,2020
4,관악구,7,2020
5,광진구,7,2020
6,구로구,7,2020
7,금천구,1,2020
8,노원구,6,2020
9,도봉구,2,2020
10,동대문구,4,2020
11,동작구,6,2020
12,마포구,5,2020
13,서대문구,3,2020
14,서초구,9,2020
15,성동구,3,2020
16,성북구,7,2020
17,송파구,9,2020
18,영등포구,6,2020
19,용산구,3,2020
20,은평구,7,2020
21,종로구,4,2020
22,중구,5,2020
23,중랑구,2,2020
