,index,gap
0,42,6155512
1,42,5093640
2,42,2788286
3,42,2293309
4,42,3537164
5,42,4548182
6,45,6155512
7,45,5093640
8,45,2788286
9,45,2293309
10,45,3537164
11,45,4548182
12,99,6155512
13,99,5093640
14,99,2788286
15,99,2293309
16,99,3537164
17,99,4548182
18,102,6155512
19,102,5093640
20,102,2788286
21,102,2293309
22,102,3537164
23,102,4548182
24,111,6155512
25,111,5093640
26,111,2788286
27,111,2293309
28,111,3537164
29,111,4548182
30,156,6155512
31,156,5093640
32,156,2788286
33,156,2293309
34,156,3537164
35,156,4548182
36,58,4943172
37,58,3689705
38,58,3897951
39,94,4943172
40,94,3689705
41,94,3897951
42,130,4943172
43,130,3689705
44,130,3897951
45,18,6274310
46,27,8668736
47,46,3910370
48,46,3689705
49,46,5013914
50,46,6112939
51,94,3910370
52,94,3689705
53,94,5013914
54,94,6112939
55,142,3910370
56,142,3689705
57,142,5013914
58,142,6112939
59,190,3910370
60,190,3689705
61,190,5013914
62,190,6112939
63,6,10638967
64,6,3999803
65,6,6274310
66,6,4323620
67,6,4148942
68,6,5543774
69,6,3849639
70,6,949507
71,6,4041107
72,6,4083361
73,6,3916261
74,6,3245872
75,6,4577563
76,6,6092344
77,6,4778064
78,6,3517018
79,13,10638967
80,13,3999803
81,13,6274310
82,13,4323620
83,13,4148942
84,13,5543774
85,13,3849639
86,13,949507
87,13,4041107
88,13,4083361
89,13,3916261
90,13,3245872
91,13,4577563
92,13,6092344
93,13,4778064
94,13,3517018
95,18,10638967
96,18,3999803
97,18,6274310
98,18,4323620
99,18,4148942
100,18,5543774
101,18,3849639
102,18,949507
103,18,4041107
104,18,4083361
105,18,3916261
106,18,3245872
107,18,4577563
108,18,6092344
109,18,4778064
110,18,3517018
111,52,10638967
112,52,3999803
113,52,6274310
114,52,4323620
115,52,4148942
116,52,5543774
117,52,3849639
118,52,949507
119,52,4041107
120,52,4083361
121,52,3916261
122,52,3245872
123,52,4577563
124,52,6092344
125,52,4778064
126,52,3517018
127,53,10638967
128,53,3999803
129,53,6274310
130,53,4323620
131,53,4148942
132,53,5543774
133,53,3849639
134,53,949507
135,53,4041107
136,53,4083361
137,53,3916261
138,53,3245872
139,53,4577563
140,53,6092344
141,53,4778064
142,53,3517018
143,70,10638967
144,70,3999803
145,70,6274310
146,70,4323620
147,70,4148942
148,70,5543774
149,70,3849639
150,70,949507
151,70,4041107
152,70,4083361
153,70,3916261
154,70,3245872
155,70,4577563
156,70,6092344
157,70,4778064
158,70,3517018
159,77,10638967
160,77,3999803
161,77,6274310
162,77,4323620
163,77,4148942
164,77,5543774
165,77,3849639
166,77,949507
167,77,4041107
168,77,4083361
169,77,3916261
170,77,3245872
171,77,4577563
172,77,6092344
173,77,4778064
174,77,3517018
175,82,10638967
176,82,3999803
177,82,6274310
178,82,4323620
179,82,4148942
180,82,5543774
181,82,3849639
182,82,949507
183,82,4041107
184,82,4083361
185,82,3916261
186,82,3245872
187,82,4577563
188,82,6092344
189,82,4778064
190,82,3517018
191,116,10638967
192,116,3999803
193,116,6274310
194,116,4323620
195,116,4148942
196,116,5543774
197,116,3849639
198,116,949507
199,116,4041107
200,116,4083361
201,116,3916261
202,116,3245872
203,116,4577563
204,116,6092344
205,116,4778064
206,116,3517018
207,117,10638967
208,117,3999803
209,117,6274310
210,117,4323620
211,117,4148942
212,117,5543774
213,117,3849639
214,117,949507
215,117,4041107
216,117,4083361
217,117,3916261
218,117,3245872
219,117,4577563
220,117,6092344
221,117,4778064
222,117,3517018
223,141,10638967
224,141,3999803
225,141,6274310
226,141,4323620
227,141,4148942
228,141,5543774
229,141,3849639
230,141,949507
231,141,4041107
232,141,4083361
233,141,3916261
234,141,3245872
235,141,4577563
236,141,6092344
237,141,4778064
238,141,3517018
239,146,10638967
240,146,3999803
241,146,6274310
242,146,4323620
243,146,4148942
244,146,5543774
245,146,3849639
246,146,949507
247,146,4041107
248,146,4083361
249,146,3916261
250,146,3245872
251,146,4577563
252,146,6092344
253,146,4778064
254,146,3517018
255,180,10638967
256,180,3999803
257,180,6274310
258,180,4323620
259,180,4148942
260,180,5543774
261,180,3849639
262,180,949507
263,180,4041107
264,180,4083361
265,180,3916261
266,180,3245872
267,180,4577563
268,180,6092344
269,180,4778064
270,180,3517018
271,181,10638967
272,181,3999803
273,181,6274310
274,181,4323620
275,181,4148942
276,181,5543774
277,181,3849639
278,181,949507
279,181,4041107
280,181,4083361
281,181,3916261
282,181,3245872
283,181,4577563
284,181,6092344
285,181,4778064
286,181,3517018
287,244,10638967
288,244,3999803
289,244,6274310
290,244,4323620
291,244,4148942
292,244,5543774
293,244,3849639
294,244,949507
295,244,4041107
296,244,4083361
297,244,3916261
298,244,3245872
299,244,4577563
300,244,6092344
301,244,4778064
302,244,3517018
303,245,10638967
304,245,3999803
305,245,6274310
306,245,4323620
307,245,4148942
308,245,5543774
309,245,3849639
310,245,949507
311,245,4041107
312,245,4083361
313,245,3916261
314,245,3245872
315,245,4577563
316,245,6092344
317,245,4778064
318,245,3517018
319,0,9692443
320,0,6453146
321,47,9692443
322,47,6453146
323,54,5702012
324,54,3537164
325,54,3005214
326,54,6613517
327,111,5702012
328,111,3537164
329,111,3005214
330,111,6613517
331,168,5702012
332,168,3537164
333,168,3005214
334,168,6613517
335,225,5702012
336,225,3537164
337,225,3005214
338,225,6613517
339,13,3999803
340,13,6274310
341,13,3849639
342,13,949507
343,13,3916261
344,13,3245872
345,13,4382152
346,13,4581013
347,18,3999803
348,18,6274310
349,18,3849639
350,18,949507
351,18,3916261
352,18,3245872
353,18,4382152
354,18,4581013
355,77,3999803
356,77,6274310
357,77,3849639
358,77,949507
359,77,3916261
360,77,3245872
361,77,4382152
362,77,4581013
363,82,3999803
364,82,6274310
365,82,3849639
366,82,949507
367,82,3916261
368,82,3245872
369,82,4382152
370,82,4581013
371,141,3999803
372,141,6274310
373,141,3849639
374,141,949507
375,141,3916261
376,141,3245872
377,141,4382152
378,141,4581013
379,146,3999803
380,146,6274310
381,146,3849639
382,146,949507
