,시군구명,스타벅스,연도
0,강남구,72,2018
1,강동구,10,2018
2,강북구,5,2018
3,강서구,15,2018
4,관악구,9,2018
5,광진구,14,2018
6,구로구,11,2018
7,금천구,13,2018
8,노원구,9,2018
9,도봉구,1,2018
10,동대문구,8,2018
11,동작구,7,2018
12,마포구,30,2018
13,서대문구,17,2018
14,서초구,45,2018
15,성동구,6,2018
16,성북구,13,2018
17,송파구,28,2018
18,양천구,9,2018
19,영등포구,29,2018
20,용산구,19,2018
21,은평구,9,2018
22,종로구,31,2018
23,중구,52,2018
24,중랑구,6,2018
0,강남구,84,2019
1,강동구,13,2019
2,강북구,5,2019
3,강서구,17,2019
4,관악구,11,2019
5,광진구,14,2019
6,구로구,12,2019
7,금천구,13,2019
8,노원구,9,2019
9,도봉구,1,2019
10,동대문구,8,2019
11,동작구,8,2019
12,마포구,30,2019
13,서대문구,20,2019
14,서초구,47,2019
15,성동구,6,2019
16,성북구,13,2019
17,송파구,28,2019
18,양천구,11,2019
19,영등포구,30,2019
20,용산구,20,2019
21,은평구,10,2019
22,종로구,33,2019
23,중구,55,2019
24,중랑구,6,2019
0,강남구,87,2020
1,강동구,15,2020
2,강북구,5,2020
3,강서구,19,2020
4,관악구,11,2020
5,광진구,17,2020
6,구로구,9,2020
7,금천구,12,2020
8,노원구,11,2020
9,도봉구,2,2020
10,동대문구,7,2020
11,동작구,11,2020
12,마포구,29,2020
13,서대문구,21,2020
14,서초구,44,2020
15,성동구,8,2020
16,성북구,15,2020
17,송파구,33,2020
18,양천구,12,2020
19,영등포구,26,2020
20,용산구,21,2020
21,은평구,10,2020
22,종로구,31,2020
23,중구,48,2020
24,중랑구,7,2020
