No,구,동,전용면적,년,월,거래금액(,면적금액,층,건축년도,도로명,경도,위도,상태
1,강남구,개포동,77.75,2019,6,134500,1730,4,1988,강남구 언주로 103,127.052912157313,37.4813446786643,정좌표
2,강남구,개포동,67.28,2019,5,124000,1843,4,1987,강남구 언주로 3,127.055285756609,37.4766068800143,정좌표
3,강남구,개포동,133.46,2019,1,197000,1476,12,1984,강남구 개포로 307,127.05635291183,37.4833406455719,정좌표
4,강남구,개포동,168.42,2019,6,211000,1253,14,2004,강남구 개포로109길 69,127.076968697071,37.4960793107687,정좌표
5,강남구,개포동,50.64,2019,2,162000,3199,2,1982,강남구 개포로 310,127.057447225388,37.4847813405013,인근좌표
6,강남구,개포동,49.56,2019,3,190000,3834,2,1982,강남구 선릉로 7,127.062644951988,37.4825494532469,인근좌표
7,강남구,개포동,42.55,2019,1,140500,3302,3,1982,강남구 삼성로 14,127.068092573165,37.4841345288743,인근좌표
8,강남구,개포동,83.17,2019,1,176000,2116,9,1983,강남구 삼성로4길 17,127.069035817017,37.4879158523771,정좌표
9,강남구,개포동,60.13,2019,1,135000,2245,8,1983,강남구 개포로 516,127.069770643237,37.4893471889718,정좌표
10,강남구,개포동,82.2,2019,7,149000,1813,2,1986,강남구 언주로 105,127.052676167647,37.48167954289,정좌표
11,강남구,개포동,132.63,2019,1,102000,769,6,1993,강남구 개포로15길 32-8,127.0459507719,37.4797790553786,정좌표
12,강남구,개포동,96.98,2019,3,161000,1660,10,1984,강남구 언주로 110,127.053085689921,37.484492170554,정좌표
13,강남구,개포동,69.86,2019,10,60700,869,5,2001,강남구 논현로2길 61-4,127.054814916716,37.4748315846041,정좌표
14,강남구,개포동,84.36,2019,9,240000,2845,17,2019,강남구 삼성로 11,127.068092573165,37.4841345288743,정좌표
15,강남구,개포동,113.96,2019,3,245000,2150,16,2019,강남구 선릉로 8,127.062644951988,37.4825494532469,정좌표
16,강남구,개포동,39.53,2019,4,87000,2201,7,1992,강남구 개포로109길 21,127.076423269295,37.4953788016947,정좌표
17,강남구,개포동,59.67,2019,9,58000,972,8,2000,강남구 논현로2길 36,127.053099472175,37.473274763719,정좌표
18,강남구,개포동,39.53,2019,1,88200,2231,8,1992,강남구 개포로109길 9,127.074251101797,37.4945303841879,정좌표
19,강남구,개포동,59.96,2019,5,33000,550,5,2001,강남구 논현로2길 22,127.052384091384,37.4728112787957,정좌표
20,강남구,개포동,62.15,2019,5,58000,933,5,2003,강남구 선릉로8길 5,127.061287681064,37.4829094729996,정좌표
21,강남구,개포동,79.61,2019,4,140000,1759,9,1987,강남구 개포로 411,127.062974448738,37.4881200083009,정좌표
22,강남구,개포동,81.42,2019,1,143440,1762,7,1991,강남구 개포로 311,127.057447225388,37.4847813405013,정좌표
23,강남구,개포동,103.94,2019,9,81500,784,5,2006,강남구 개포로31길 9-5,127.049124679016,37.4795535205082,정좌표
24,강남구,개포동,72.78,2019,4,53500,735,3,2002,강남구 논현로2길 50,127.054119011441,37.4739411176054,정좌표
25,강남구,개포동,128.62,2019,5,185000,1438,5,1984,강남구 개포로 303,127.055581803811,37.4827180610645,정좌표
26,강남구,개포동,131.83,2019,4,193000,1464,7,1986,강남구 언주로 107,127.050285189439,37.4819476351936,정좌표
27,강남구,개포동,84.87,2019,1,152000,1791,9,1986,강남구 개포로 409,127.060926138626,37.4875524877951,정좌표
28,강남구,논현동,84.9876,2019,11,103700,1220,3,2005,강남구 봉은사로11길 12,127.028938932599,37.5067442341378,정좌표
29,강남구,논현동,30.215,2019,3,27000,894,2,1996,강남구 강남대로112길 41,127.027655272645,37.506323311769,정좌표
30,강남구,논현동,59.56,2019,9,84000,1410,2,1996,강남구 언주로116길 12,127.03818338076,37.5106689249365,정좌표
31,강남구,논현동,123.8,2019,3,99000,800,6,2009,강남구 도산대로54길 48-8,127.03885141416,37.5196750070353,정좌표
32,강남구,논현동,132.96,2019,10,158000,1188,5,2004,강남구 봉은사로51길 18,127.042830087267,37.5112853222012,정좌표
33,강남구,논현동,84.9914,2019,4,103000,1212,11,2007,강남구 학동로38길 22,127.034161564031,37.5135183658614,정좌표
34,강남구,논현동,139.35,2019,8,97000,696,3,2004,강남구 논현로113길 5,127.032839053121,37.5081895467411,정좌표
35,강남구,논현동,67.671,2019,4,85000,1256,9,2005,강남구 논현로111길 39,127.030422758162,37.5068222507751,정좌표
36,강남구,논현동,132.59,2019,6,81000,611,2,2002,강남구 학동로30길 21,127.032703261638,37.5127295066008,정좌표
