기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,,,,,,,총_생활인구_수
2020,4,A,골목상권,1001010,풍성로37가길,서울특별시 강동구 성내동 285-4,,,,,,9692443
2020,4,A,골목상권,1001009,천호옛길,서울특별시 강동구 성내동 320-7,,,,,,8798709
2020,4,A,골목상권,1001008,천호옛14길,서울특별시 강동구 성내동 38-20,,,,,,7345107
2020,4,A,골목상권,1001007,천호대로219길,서울특별시 강동구 상일동 457-1,,,,,,1425329
2020,4,A,골목상권,1001006,천호대로197길,서울특별시 강동구 길동 140-4,,,,,,5812854
2020,4,A,골목상권,1001005,천호대로187길,서울특별시 강동구 길동 237-1,,,,,,6416679
2020,4,A,골목상권,1001004,천호대로170길,서울특별시 강동구 성내동 199-4 한솔브리즈아파트,,,,,,10638967
2020,4,A,골목상권,1001003,천호대로162길,서울특별시 강동구 성내동 19-28,,,,,,9881040
2020,4,A,골목상권,1001002,천중로51길,서울특별시 강동구 길동 344-3,,,,,,8436611
2020,4,A,골목상권,1001001,천중로39길,서울특별시 강동구 천호동 55-23,,,,,,9787553
2020,4,A,골목상권,1001000,진황도로47길,서울특별시 강동구 길동 442-3 삼성빌라트,,,,,,5775526
2020,4,A,골목상권,1000999,진황도로27길,서울특별시 강동구 천호동 166-101,,,,,,10034567
2020,4,A,골목상권,1000998,올림픽로98길,서울특별시 강동구 암사동 500-5,,,,,,8187391
2020,4,A,골목상권,1000997,올림픽로80길,서울특별시 강동구 천호동 358-1,,,,,,3999803
2020,4,A,골목상권,1000996,올림픽로78길,서울특별시 강동구 천호동 358-11,,,,,,3832525
2020,4,A,골목상권,1000995,올림픽로77길,서울특별시 강동구 천호동 340-31,,,,,,4786824
2020,4,A,골목상권,1000994,올림픽로71길,서울특별시 강동구 천호동 459-8,,,,,,4346883
2020,4,A,골목상권,1000993,올림픽로48길,서울특별시 강동구 성내동 553-28,,,,,,3762838
2020,4,A,골목상권,1000992,양재대로96길,서울특별시 강동구 둔촌동 517-5,,,,,,6274310
2020,4,A,골목상권,1000991,양재대로95길,서울특별시 강동구 성내동 397-16,,,,,,8487732
2020,4,A,골목상권,1000990,양재대로91길,서울특별시 강동구 성내동 428-4,,,,,,6470117
2020,4,A,골목상권,1000989,양재대로133길,서울특별시 강동구 천호동 30-15,,,,,,7922166
2020,4,A,골목상권,1000988,양재대로124길,서울특별시 강동구 길동 334-5 보성빌딩,,,,,,8725003
2020,4,A,골목상권,1000987,양재대로116길,서울특별시 강동구 길동 366-6 송진빌딩,,,,,,5271778
2020,4,A,골목상권,1000986,양재대로101길,서울특별시 강동구 성내동 387-48 해가든아파트,,,,,,8994751
2020,4,A,골목상권,1000985,암사길,서울특별시 강동구 암사동 497-16,,,,,,8198604
2020,4,A,골목상권,1000984,성안로3길,서울특별시 강동구 성내동 464-3 삼보쉐르빌,,,,,,4469972
2020,4,A,골목상권,1000983,성내로5길,서울특별시 강동구 성내동 538-5,,,,,,8668736
2020,4,A,골목상권,1000982,상일로5길,서울특별시 강동구 상일동 284-6,,,,,,1800216
2020,4,A,골목상권,1000981,상암로5길,서울특별시 강동구 암사동 502-7,,,,,,5220606
2020,4,A,골목상권,1000980,상암로51길,서울특별시 강동구 명일동 341-4,,,,,,5430918
2020,4,A,골목상권,1000979,상암로4길,서울특별시 강동구 암사동 511-22,,,,,,5654075
2020,4,A,골목상권,1000978,상암로14길,서울특별시 강동구 천호동 289-19 아트팰리스,,,,,,7196364
2020,4,A,골목상권,1000977,명일로13길,서울특별시 강동구 둔촌동 59-5,,,,,,6307127
2020,4,A,골목상권,1000976,동남로85길,서울특별시 강동구 고덕동 509-10,,,,,,1836987
2020,4,A,골목상권,1000975,동남로82길,서울특별시 강동구 고덕동 289-3,,,,,,1077239
2020,4,A,골목상권,1000974,동남로65길,서울특별시 강동구 명일동 158,,,,,,1088057
2020,4,A,골목상권,1000973,구천면로42길,서울특별시 강동구 천호동 238-4,,,,,,10454010
2020,4,A,골목상권,1000972,구천면로41길,서울특별시 강동구 천호동 294-17 우희하우스,,,,,,9688786
2020,4,A,골목상권,1000971,구천면로36길,서울특별시 강동구 천호동 394-1,,,,,,8221569
2020,4,A,골목상권,1000970,고덕로61길,서울특별시 강동구 고덕동 307 고덕공무원아파트,,,,,,2008734
2020,4,A,골목상권,1000969,고덕로25길,서울특별시 강동구 암사동 451-7,,,,,,2408923
2020,4,A,골목상권,1000968,고덕로10길,서울특별시 강동구 암사동 462-24,,,,,,6155512
2020,4,A,골목상권,1000967,강동대로53길,서울특별시 강동구 성내동 448-30,,,,,,3971822
2020,4,A,골목상권,1000966,풍성로25길,서울특별시 송파구 풍납동 500-3,,,,,,6493564
2020,4,A,골목상권,1000965,오금로46길,서울특별시 송파구 가락동 175-13 보람빌딩,,,,,,5093640
