구,동,전용면적,년,월,거래금액(,면적금액,층,건축년도,도로명
강남구,개포동,79.97,2018,1,130000,1626,4,1987,강남구 언주로 3
강남구,개포동,161,2018,1,210000,1304,12,1984,강남구 개포로 307
강남구,개포동,170.32,2018,1,162000,951,16,2004,강남구 개포로109길 69
강남구,개포동,50.38,2018,1,163000,3235,4,1982,강남구 개포로 310
강남구,개포동,56.57,2018,1,179000,3164,5,1982,강남구 선릉로 7
강남구,개포동,50.39,2018,1,134000,2659,1,1982,강남구 삼성로 14
강남구,개포동,74.25,2018,1,155000,2088,13,1983,강남구 삼성로4길 17
강남구,개포동,60.13,2018,1,135400,2252,1,1983,강남구 개포로 516
강남구,개포동,82.2,2018,1,125000,1521,7,1986,강남구 언주로 105
강남구,개포동,123.28,2018,3,200000,1622,10,1984,강남구 언주로 110
강남구,개포동,73.55,2018,12,49700,676,3,2001,강남구 논현로2길 61-4
강남구,개포동,68.64,2018,1,46400,676,2,2004,강남구 개포로28길 28
강남구,개포동,51.12,2018,1,96000,1878,7,1992,강남구 개포로109길 21
강남구,개포동,59.96,2018,6,46500,776,7,2000,강남구 논현로2길 36
강남구,개포동,40.35,2018,12,25500,632,2,2000,강남구 논현로2길 38
강남구,개포동,39.53,2018,1,80800,2044,15,1992,강남구 개포로109길 9
강남구,개포동,51.18,2018,1,136000,2657,2,1984,강남구 언주로 21
강남구,개포동,59.96,2018,3,35000,584,5,2001,강남구 논현로2길 22
강남구,개포동,83.58,2018,1,65000,778,4,2003,강남구 선릉로8길 5
강남구,개포동,79.61,2018,1,130000,1633,7,1987,강남구 개포로 411
강남구,개포동,81.42,2018,1,115000,1412,9,1991,강남구 개포로 311
강남구,개포동,65.06,2018,1,52000,799,6,2006,강남구 개포로31길 9-9
강남구,개포동,137.82,2018,1,81000,588,2,2006,강남구 개포로31길 9-5
강남구,개포동,133.68,2018,4,160000,1197,4,1994,강남구 선릉로18길 12
강남구,개포동,177.19,2018,1,205000,1157,7,1984,강남구 개포로 303
강남구,개포동,165.08,2018,1,210000,1272,1,1986,강남구 언주로 107
강남구,개포동,84.87,2018,8,135000,1591,2,1986,강남구 개포로 409
강남구,논현동,129.1841,2018,3,88700,687,1,2005,강남구 봉은사로11길 12
강남구,논현동,42.015,2018,1,34800,828,11,1996,강남구 강남대로112길 41
강남구,논현동,59.56,2018,10,79500,1335,1,1996,강남구 언주로116길 12
강남구,논현동,123.8,2018,1,95500,771,4,2009,강남구 도산대로54길 48-8
강남구,논현동,84.9968,2018,12,101000,1188,7,2007,강남구 학동로38길 22
강남구,논현동,134.28,2018,2,84500,629,2,2004,강남구 논현로113길 5
강남구,논현동,67.671,2018,1,80000,1182,2,2005,강남구 논현로111길 39
강남구,논현동,240.03,2018,8,443000,1846,3,2012,강남구 학동로46길 32
강남구,논현동,111.08,2018,1,85000,765,7,2002,강남구 학동로30길 21
강남구,논현동,90.38,2018,4,66750,739,1,2003,강남구 논현로124길 7
강남구,논현동,80.85,2018,1,69500,860,7,2009,강남구 학동로43길 38
강남구,논현동,170.57,2018,1,150000,879,14,2007,강남구 학동로 338
강남구,논현동,122.44,2018,1,78000,637,3,2006,강남구 봉은사로11길 11
강남구,논현동,114.498,2018,1,124000,1083,5,2003,강남구 언주로116길 6
강남구,논현동,149.83,2018,1,240000,1602,14,2004,강남구 언주로130길 30
강남구,논현동,84.92,2018,3,135000,1590,5,1985,강남구 언주로146길 18
강남구,논현동,84.993,2018,8,117000,1377,4,2004,강남구 학동로46길 38
강남구,논현동,84.253,2018,3,111000,1317,5,2004,강남구 언주로122길 25
강남구,논현동,84.84,2018,2,63700,751,3,2004,강남구 논현로124길 8
강남구,논현동,36.29,2018,1,41000,1130,15,2004,강남구 학동로 165
강남구,논현동,160.97,2018,3,110000,683,3,2004,강남구 학동로5길 17
