year,road_nm,pop_total,gu,emd
2020,풍성로37가길,9692443,강동구,성내동
2020,천호옛길,8798709,강동구,성내동
2020,천호옛14길,7345107,강동구,성내동
2020,천호대로219길,1425329,강동구,상일동
2020,천호대로197길,5812854,강동구,길동
2020,천호대로187길,6416679,강동구,길동
2020,천호대로170길,10638967,강동구,성내동
2020,천호대로162길,9881040,강동구,성내동
2020,천중로51길,8436611,강동구,길동
2020,천중로39길,9787553,강동구,천호동
2020,진황도로47길,5775526,강동구,길동
2020,진황도로27길,10034567,강동구,천호동
2020,올림픽로98길,8187391,강동구,암사동
2020,올림픽로80길,3999803,강동구,천호동
2020,올림픽로78길,3832525,강동구,천호동
2020,올림픽로77길,4786824,강동구,천호동
2020,올림픽로71길,4346883,강동구,천호동
2020,올림픽로48길,3762838,강동구,성내동
2020,양재대로96길,6274310,강동구,둔촌동
2020,양재대로95길,8487732,강동구,성내동
2020,양재대로91길,6470117,강동구,성내동
2020,양재대로133길,7922166,강동구,천호동
2020,양재대로124길,8725003,강동구,길동
2020,양재대로116길,5271778,강동구,길동
2020,양재대로101길,8994751,강동구,성내동
2020,암사길,8198604,강동구,암사동
2020,성안로3길,4469972,강동구,성내동
2020,성내로5길,8668736,강동구,성내동
2020,상일로5길,1800216,강동구,상일동
2020,상암로5길,5220606,강동구,암사동
2020,상암로51길,5430918,강동구,명일동
2020,상암로4길,5654075,강동구,암사동
2020,상암로14길,7196364,강동구,천호동
2020,명일로13길,6307127,강동구,둔촌동
2020,동남로85길,1836987,강동구,고덕동
2020,동남로82길,1077239,강동구,고덕동
2020,동남로65길,1088057,강동구,명일동
2020,구천면로42길,10454010,강동구,천호동
2020,구천면로41길,9688786,강동구,천호동
2020,구천면로36길,8221569,강동구,천호동
2020,고덕로61길,2008734,강동구,고덕동
2020,고덕로25길,2408923,강동구,암사동
2020,고덕로10길,6155512,강동구,암사동
2020,강동대로53길,3971822,강동구,성내동
2020,풍성로25길,6493564,송파구,풍납동
2020,오금로46길,5093640,송파구,가락동
2020,오금로36길,3910370,송파구,가락동
2020,오금로11길,6453146,송파구,방이동
2020,양재대로72길,3345603,송파구,오금동
2020,양재대로71길,3586318,송파구,방이동
2020,양재대로64길,5000752,송파구,가락동
2020,양재대로62길,3451251,송파구,가락동
2020,송파대로30길,4323620,송파구,가락동
2020,송이로36길,4148942,송파구,문정동
2020,송이로32길,5702012,송파구,문정동
2020,송이로23길,4906271,송파구,가락동
2020,삼전로13길,7288863,송파구,잠실동
2020,백제고분로50길,5499348,송파구,방이동
2020,백제고분로46길,4943172,송파구,송파동
2020,백제고분로45길,5889428,송파구,송파동
2020,백제고분로42길,4930469,송파구,송파동
2020,백제고분로39길,4339151,송파구,석촌동
2020,백제고분로34길,5267902,송파구,석촌동
2020,백제고분로33길,5669071,송파구,석촌동
2020,백제고분로32길,4334826,송파구,삼전동
2020,백제고분로31길,6727255,송파구,삼전동
2020,백제고분로22길,4257764,송파구,삼전동
2020,백제고분로21길,5098324,송파구,삼전동
2020,마천로51길,5797973,송파구,마천동
2020,동남로20길,4877272,송파구,가락동
2020,거마로20길,5543774,송파구,마천동
2020,학동로77길,3909208,강남구,청담동
2020,학동로6길,4204012,강남구,논현동
2020,학동로56길,6023917,강남구,삼성동
2020,학동로38길,3628839,강남구,논현동
2020,테헤란로81길,2394154,강남구,삼성동
2020,일원로9길,3607530,강남구,일원동
2020,일원로3길,3849639,강남구,일원동
2020,영동대로65길,4175568,강남구,대치동
2020,영동대로112길,1648470,강남구,삼성동
2020,언주로81길,6387206,강남구,역삼동
2020,압구정로2길,3199302,강남구,신사동
2020,선릉로18길,949507,강남구,개포동
2020,선릉로146길,4187298,강남구,청담동
2020,선릉로133길,4912092,강남구,논현동
2020,선릉로132길,6554681,강남구,청담동
2020,선릉로121길,4779857,강남구,논현동
2020,삼성로75길,7050002,강남구,대치동
2020,삼성로69길,6454369,강남구,대치동
2020,삼성로64길,4055834,강남구,대치동
2020,삼성로63길,6028388,강남구,대치동
2020,삼성로57길,5253750,강남구,대치동
2020,삼성로147길,3865778,강남구,청담동
2020,삼성로115길,3956518,강남구,삼성동
2020,봉은사로68길,3689705,강남구,삼성동
2020,봉은사로57길,3582447,강남구,삼성동
2020,봉은사로43길,5650636,강남구,논현동
2020,봉은사로29길,5949088,강남구,논현동
2020,봉은사로109길,1849785,강남구,삼성동
2020,도산대로89길,2788286,강남구,청담동
2020,도산대로81길,2842170,강남구,청담동
2020,도산대로50길,4320219,강남구,논현동
2020,도산대로38길,2293309,강남구,논현동
2020,도산대로30길,2546282,강남구,논현동
2020,도산대로23길,3579517,강남구,신사동
2020,도산대로15길,3700107,강남구,신사동
2020,도곡로37길,5783167,강남구,역삼동
2020,논현로8길,2097261,강남구,개포동
2020,논현로63길,4388544,강남구,역삼동
2020,논현로28길,2753984,강남구,도곡동
2020,논현로26길,2813838,강남구,도곡동
2020,논현로159길,3537164,강남구,신사동
2020,논현로139길,3593599,강남구,논현동
2020,논현로123길,3847955,강남구,논현동
2020,논현로115길,6142013,강남구,논현동
2020,논현로10길,3248849,강남구,개포동
2020,논현로106길,4041107,강남구,역삼동
2020,남부순환로365길,4083361,강남구,도곡동
2020,개포로82길,626361,강남구,개포동
2020,개포로28길,2343374,강남구,개포동
2020,개포로20길,3548927,강남구,개포동
2020,개포로17길,2642545,강남구,개포동
2020,강남대로140길,3329588,강남구,논현동
2020,강남대로136길,4189847,강남구,논현동
2020,강남대로118길,4788690,강남구,논현동
2020,서초중앙로8길,4100128,서초구,서초동
2020,방배중앙로21길,4417652,서초구,방배동
2020,효령로72길,3196575,서초구,서초동
2020,효령로34길,2135225,서초구,방배동
2020,효령로31길,4018473,서초구,방배동
2020,효령로23길,3897951,서초구,방배동
2020,청두곶길,4606379,서초구,방배동
2020,주흥길,5198665,서초구,반포동
2020,주흥15길,4711183,서초구,반포동
2020,언남길,2741714,서초구,양재동
2020,신반포로45길,4282863,서초구,잠원동
2020,서초대로8길,3424204,서초구,방배동
2020,서초대로64길,3267524,서초구,서초동
2020,서초대로4길,4513409,서초구,방배동
2020,서초대로25길,4774707,서초구,방배동
2020,서초대로23길,4172175,서초구,방배동
2020,서초대로15길,3916261,서초구,방배동
2020,사평대로57길,5013914,서초구,반포동
2020,사평대로26길,2163278,서초구,반포동
2020,사평대로22길,3242512,서초구,반포동
2020,사임당로17길,4036394,서초구,서초동
2020,방배로42길,3245872,서초구,방배동
2020,방배로35길,4539815,서초구,방배동
2020,방배로18길,3210967,서초구,방배동
2020,반포대로9길,3127303,서초구,서초동
2020,바우뫼로39길,3300288,서초구,양재동
2020,마방로2길,2182938,서초구,양재동
2020,방배천로4안길,3744413,서초구,방배동
2020,동산로19길,3587787,서초구,양재동
2020,동산로10길,2725883,서초구,양재동
2020,동광로39길,3231051,서초구,반포동
2020,동광로1길,4548182,서초구,방배동
2020,동광로12길,5647876,서초구,방배동
2020,논현로27길,2716694,서초구,양재동
2020,논현로1길,3229829,서초구,양재동
2020,남부순환로339길,2536541,서초구,서초동
2020,남부순환로325길,3223490,서초구,서초동
2020,남부순환로317길,3569133,서초구,서초동
2020,고무래로8길,2887091,서초구,반포동
2020,강남대로8길,2797605,서초구,양재동
2020,강남대로34길,3477455,서초구,양재동
2020,강남대로23길,1264607,서초구,양재동
2020,봉천동,6960055,관안구,
2020,원신길,3005214,관악구,신림동
2020,신림동,3522214,관악구,
2020,양산길,3073823,관악구,신림동
2020,호암로24길,7392121,관악구,신림동
2020,호암로20길,7397982,관악구,신림동
2020,행운길,7597821,관악구,봉천동
2020,행운1길,7262517,관악구,봉천동
2020,청림3길,6092471,관악구,봉천동
2020,구,8027497,동대문,
2020,청룡8길,6723525,관악구,봉천동
2020,중앙길,9284950,관악구,봉천동
2020,조원중앙로2길,5331803,관악구,신림동
2020,조원로18길,4577563,관악구,신림동
2020,조원로10길,6092344,관악구,신림동
2020,장군봉2길,4881286,관악구,봉천동
2020,장군봉1길,5938894,관악구,봉천동
2020,인헌길,4808860,관악구,봉천동
2020,은천로25길,4575206,관악구,봉천동
2020,양녕로6길,8366240,관악구,봉천동
2020,신원로3길,7451742,관악구,신림동
2020,신사로20길,4276875,관악구,신림동
2020,신림로65길,8183079,관악구,신림동
2020,신림로64길,6112939,관악구,신림동
2020,신림로48길,3828049,관악구,신림동
2020,신림로38길,4998260,관악구,신림동
2020,신림로28길,5766857,관악구,신림동
2020,신림로11길,5284767,관악구,신림동
2020,신림동길,8219067,관악구,신림동
2020,승방길,4810476,관악구,남현동
2020,서림7길,4252672,관악구,신림동
2020,봉천로33길,7728186,관악구,봉천동
2020,봉천로13길,5030943,관악구,봉천동
2020,복은길,5497059,관악구,신림동
2020,법원단지길,4869522,관악구,신림동
2020,법원단지9길,5316286,관악구,신림동
2020,미성5길,4578603,관악구,신림동
2020,대학길,5845732,관악구,신림동
2020,대학로14길,4382152,종로구,혜화동
2020,당곡길,4135775,관악구,봉천동
2020,남현길,6284916,관악구,남현동
2020,남현3길,6471707,관악구,남현동
2020,남현2길,7892653,관악구,남현동
2020,남부순환로248길,4581013,관악구,봉천동
2020,남부순환로234길,4117127,관악구,봉천동
2020,남부순환로172길,5929340,관악구,신림동
2020,남부순환로161길,5592299,관악구,신림동
2020,남부순환로151길,5068009,관악구,신림동
2020,남부순환로142길,3828944,관악구,신림동
2020,난향길,1356338,관악구,신림동
2020,난우길,5448224,관악구,신림동
2020,난곡로74길,4940549,관악구,신림동
2020,난곡로34길,4653309,관악구,신림동
2020,난곡로26길,3704027,관악구,신림동
2020,난곡로24길,2822558,관악구,신림동
2020,낙성대역길,5699120,관악구,봉천동
2020,국회단지길,5902205,관악구,봉천동
2020,구암길,3542114,관악구,봉천동
2020,관천로22길,6613517,관악구,신림동
2020,관천로15길,6482728,관악구,신림동
2020,관악로30길,5251972,관악구,봉천동
2020,관악로28길,5042344,관악구,봉천동
2020,관악로14길,6663415,관악구,봉천동
2020,관악로10길,5121200,관악구,봉천동
2020,흑석로9길,2322340,동작구,흑석동
2020,흑석로13길,2270157,동작구,흑석동
2020,장승배기로27길,4587594,동작구,노량진동
2020,장승배기로19길,4576715,동작구,노량진동
2020,장승배기로10길,4457189,동작구,상도동
2020,여의대방로46길,2883138,동작구,대방동
2020,여의대방로24길,3608250,동작구,대방동
2020,여의대방로22카길,4349060,동작구,신대방동
2020,여의대방로22나길,2522283,동작구,신대방동
2020,여의대방로22길,3283028,동작구,신대방동
2020,양녕로26길,3553435,동작구,상도동
2020,신대방길,3526296,동작구,신대방동
2020,성대로29길,5359669,동작구,상도동
2020,성대로1길,4778064,동작구,상도동
2020,서달로8가길,3517018,동작구,흑석동
2020,서달로15길,1916837,동작구,흑석동
2020,서달로14길,2437317,동작구,흑석동
2020,서달로10길,4028611,동작구,흑석동
2020,상도로62길,5094385,동작구,상도동
2020,상도로61길,3794154,동작구,상도동
2020,상도로47길,4441714,동작구,상도1동
2020,상도로37길,4278062,동작구,상도1동
2020,상도로15길,5842651,동작구,상도동
2020,사당로8길,5636800,동작구,사당동
2020,사당로30길,3806771,동작구,사당동
2020,사당로2차길,2784335,동작구,사당동
2020,사당로29길,4769628,동작구,사당동
2020,사당로26길,5088744,동작구,사당동
2020,사당로23나길,2616586,동작구,사당동
2020,사당로23길,3041006,동작구,사당동
2020,사당로20길,5392393,동작구,사당동
2020,사당로16길,6850455,동작구,사당동
2020,사당로16가길,5407991,동작구,사당동
2020,만양로8길,5741923,동작구,노량진동
2020,만양로14길,3813778,동작구,노량진동
2020,등용로14길,3049866,동작구,대방동
2020,동작대로7길,7327314,동작구,사당동
2020,동작대로35길,4798436,동작구,사당동
2020,동작대로33길,6119143,동작구,사당동
2020,동작대로29길,4371625,동작구,사당동
