year,seoul,gu,emd,pop_total,도로명,도로명_합
2020,서울특별시,강동구,성내제2동,9692443,풍성로37가길,서울특별시강동구풍성로37가길
2020,서울특별시,강동구,성내제1동,8798709,천호옛길,서울특별시강동구천호옛길
2020,서울특별시,강동구,성내제2동,7345107,천호옛14길,서울특별시강동구천호옛14길
2020,서울특별시,강동구,상일제1동,1425329,천호대로219길,서울특별시강동구천호대로219길
2020,서울특별시,강동구,길동,5812854,천호대로197길,서울특별시강동구천호대로197길
2020,서울특별시,강동구,길동,6416679,천호대로187길,서울특별시강동구천호대로187길
2020,서울특별시,강동구,성내제2동,10638967,천호대로170길,서울특별시강동구천호대로170길
2020,서울특별시,강동구,성내제2동,9881040,천호대로162길,서울특별시강동구천호대로162길
2020,서울특별시,강동구,길동,8436611,천중로51길,서울특별시강동구천중로51길
2020,서울특별시,강동구,천호제3동,9787553,천중로39길,서울특별시강동구천중로39길
2020,서울특별시,강동구,길동,5775526,진황도로47길,서울특별시강동구진황도로47길
2020,서울특별시,강동구,천호제3동,10034567,진황도로27길,서울특별시강동구진황도로27길
2020,서울특별시,강동구,암사제1동,8187391,올림픽로98길,서울특별시강동구올림픽로98길
2020,서울특별시,강동구,천호제2동,3999803,올림픽로80길,서울특별시강동구올림픽로80길
2020,서울특별시,강동구,천호제2동,3832525,올림픽로78길,서울특별시강동구올림픽로78길
2020,서울특별시,강동구,천호제2동,4786824,올림픽로77길,서울특별시강동구올림픽로77길
2020,서울특별시,강동구,천호제2동,4346883,올림픽로71길,서울특별시강동구올림픽로71길
2020,서울특별시,강동구,성내제1동,3762838,올림픽로48길,서울특별시강동구올림픽로48길
2020,서울특별시,강동구,둔촌제2동,6274310,양재대로96길,서울특별시강동구양재대로96길
2020,서울특별시,강동구,성내제3동,8487732,양재대로95길,서울특별시강동구양재대로95길
2020,서울특별시,강동구,성내제3동,6470117,양재대로91길,서울특별시강동구양재대로91길
2020,서울특별시,강동구,천호제1동,7922166,양재대로133길,서울특별시강동구양재대로133길
2020,서울특별시,강동구,길동,8725003,양재대로124길,서울특별시강동구양재대로124길
2020,서울특별시,강동구,길동,5271778,양재대로116길,서울특별시강동구양재대로116길
2020,서울특별시,강동구,성내제3동,8994751,양재대로101길,서울특별시강동구양재대로101길
2020,서울특별시,강동구,암사제1동,8198604,암사길,서울특별시강동구암사길
2020,서울특별시,강동구,성내제1동,4469972,성안로3길,서울특별시강동구성안로3길
2020,서울특별시,강동구,성내제1동,8668736,성내로5길,서울특별시강동구성내로5길
2020,서울특별시,강동구,상일제1동,1800216,상일로5길,서울특별시강동구상일로5길
2020,서울특별시,강동구,암사제2동,5220606,상암로5길,서울특별시강동구상암로5길
2020,서울특별시,강동구,명일제1동,5430918,상암로51길,서울특별시강동구상암로51길
2020,서울특별시,강동구,암사제2동,5654075,상암로4길,서울특별시강동구상암로4길
2020,서울특별시,강동구,천호제2동,7196364,상암로14길,서울특별시강동구상암로14길
2020,서울특별시,강동구,둔촌제2동,6307127,명일로13길,서울특별시강동구명일로13길
2020,서울특별시,강동구,고덕제1동,1836987,동남로85길,서울특별시강동구동남로85길
2020,서울특별시,강동구,고덕제2동,1077239,동남로82길,서울특별시강동구동남로82길
2020,서울특별시,강동구,명일제2동,1088057,동남로65길,서울특별시강동구동남로65길
