,cafe,gu_cd,gu,emd_cd,emd,gibun,road,lng,lat,year
0,빽다방커피,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1671-5,서울특별시 서초구 서초중앙로22길 25,127.0154469,37.49346116,2018
1,빽다방외대역점,11230,동대문구,1123011000,이문동,서울특별시 동대문구 이문동 305-152,서울특별시 동대문구 휘경로 17,127.0621597,37.59577708,2018
2,빽다방,11215,광진구,1121510900,군자동,서울특별시 광진구 군자동 361-25,서울특별시 광진구 광나루로 381-1,127.0723089,37.54809278,2018
3,빽다방,11710,송파구,1171010700,가락동,서울특별시 송파구 가락동 8,서울특별시 송파구 오금로 306,127.1261052,37.50287363,2018
4,빽다방,11215,광진구,1121510700,화양동,서울특별시 광진구 화양동 47-6,서울특별시 광진구 아차산로29길 29-1,127.0686017,37.54225182,2018
5,빽다방,11140,중구,1114012700,명동2가,서울특별시 중구 명동2가 101-3,서울특별시 중구 남대문로 58-1,126.9818508,37.56242189,2018
6,빽다방둔촌동역점,11740,강동구,1174010800,성내동,서울특별시 강동구 성내동 429-2,서울특별시 강동구 양재대로 1339,127.1349888,37.52594307,2018
7,빽다방,11530,구로구,1153010200,구로동,서울특별시 구로구 구로동 97,서울특별시 구로구 가마산로26길 5,126.8909805,37.49607959,2018
8,빽다방명일역점,11740,강동구,1174010100,명일동,서울특별시 강동구 명일동 325-2,서울특별시 강동구 구천면로 418,127.1450151,37.5505068,2018
9,빽다방,11500,강서구,1150010300,화곡동,서울특별시 강서구 화곡동 1006-3,서울특별시 강서구 강서로 245,126.8359891,37.54755838,2018
10,빽다방,11470,양천구,1147010200,목동,서울특별시 양천구 목동 907-5,서울특별시 양천구 목동서로 65,126.8787105,37.53614119,2018
11,빽다방성신여대점,11290,성북구,1129011600,동선동1가,서울특별시 성북구 동선동1가 2-12,서울특별시 성북구 동소문로20나길 3,127.0167663,37.59196568,2018
12,빽다방신림역1호점,11620,관악구,1162010200,신림동,서울특별시 관악구 신림동 1639-8,서울특별시 관악구 남부순환로 1592,126.9275723,37.48368563,2018
13,빽다방,11305,강북구,1130510300,수유동,서울특별시 강북구 수유동 221-22,서울특별시 강북구 도봉로87길 48,127.02326,37.6391889,2018
14,빽다방서울대메트로빌점,11620,관악구,1162010100,봉천동,서울특별시 관악구 봉천동 870-13,서울특별시 관악구 남부순환로 1811,126.9514349,37.48172829,2018
15,빽다방,11380,은평구,1138011400,진관동,서울특별시 은평구 진관동 70,서울특별시 은평구 진관2로 15-46,126.9178192,37.63828685,2018
16,빽다방,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 893,서울특별시 강남구 삼성로85길 11,127.0561648,37.50458815,2018
17,빽다방,11410,서대문구,1141011600,창천동,서울특별시 서대문구 창천동 18-46,서울특별시 서대문구 연세로2길 6,126.9371323,37.55586466,2018
18,빽다방,11170,용산구,1117012500,한강로2가,서울특별시 용산구 한강로2가 2-196,서울특별시 용산구 새창로 213,126.967249,37.53046119,2018
19,빽다방서초우성점,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1329-9,서울특별시 서초구 사임당로 181,127.0293055,37.4930262,2018
20,빽다방,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 938-24,서울특별시 강남구 도곡로 405,127.0546499,37.49735857,2018
21,빽다방,11170,용산구,1117011300,원효로2가,서울특별시 용산구 원효로2가 90-1,서울특별시 용산구 새창로 132,126.9612251,37.53569749,2018
22,빽다방PAIKSCOFFEE,11440,마포구,1144010400,도화동,서울특별시 마포구 도화동 290-15,서울특별시 마포구 마포대로4길 16,126.946484,37.53875659,2018
23,빽다방강동역헤르셔점,11740,강동구,1174010900,천호동,서울특별시 강동구 천호동 447-17,서울특별시 강동구 천호대로 1089,127.1330784,37.53656154,2018
24,빽다방,11170,용산구,1117010700,동자동,서울특별시 용산구 동자동 43-120,서울특별시 용산구 한강대로 401,126.9723109,37.55404063,2018
