index,gu,dong,size,trade,sizetrade,year
0,강남구,개포동,69,142210,2328,2018
1,강남구,논현동,97,113205,1191,2018
2,강남구,대치동,99,190018,1916,2018
3,강남구,도곡동,114,162690,1466,2018
4,강남구,삼성동,102,172511,1761,2018
5,강남구,세곡동,80,98439,1253,2018
6,강남구,수서동,64,104124,1736,2018
7,강남구,신사동,113,121770,1083,2018
8,강남구,압구정동,119,263775,2281,2018
9,강남구,역삼동,78,106648,1403,2018
10,강남구,율현동,71,84962,1206,2018
11,강남구,일원동,82,132168,1618,2018
12,강남구,자곡동,95,126223,1335,2018
13,강남구,청담동,110,175336,1676,2018
14,강북구,미아동,80,46644,604,2018
15,강북구,번동,68,34048,510,2018
16,강북구,수유동,80,35191,456,2018
17,강북구,우이동,83,38089,459,2018
18,노원구,공릉동,68,36689,553,2018
19,노원구,상계동,62,36681,612,2018
20,노원구,월계동,64,37543,596,2018
21,노원구,중계동,70,43074,614,2018
22,노원구,하계동,69,41467,603,2018
23,도봉구,도봉동,76,33292,438,2018
24,도봉구,방학동,77,33934,442,2018
25,도봉구,쌍문동,68,30064,442,2018
26,도봉구,창동,69,40886,602,2018
27,서초구,내곡동,89,107595,1240,2018
28,서초구,반포동,113,230039,2161,2018
29,서초구,방배동,122,130920,1122,2018
30,서초구,서초동,105,120694,1176,2018
31,서초구,신원동,83,116854,1433,2018
32,서초구,양재동,82,71030,890,2018
33,서초구,우면동,86,94666,1133,2018
34,서초구,잠원동,87,161423,1882,2018
35,성북구,길음동,83,58980,731,2018
36,성북구,돈암동,85,48663,593,2018
37,성북구,동선동1가,106,53875,516,2018
38,성북구,동선동3가,113,40500,360,2018
39,성북구,동선동4가,68,35110,512,2018
40,성북구,동선동5가,106,34875,328,2018
41,성북구,동소문동4가,75,42936,581,2018
42,성북구,동소문동5가,94,59338,706,2018
43,성북구,동소문동6가,30,22942,1107,2018
44,성북구,동소문동7가,77,55448,752,2018
45,성북구,보문동3가,84,62650,759,2018
46,성북구,보문동4가,101,56835,568,2018
47,성북구,보문동6가,70,59688,898,2018
48,성북구,삼선동2가,87,57068,676,2018
49,성북구,삼선동3가,87,71625,840,2018
50,성북구,삼선동4가,78,51213,678,2018
51,성북구,삼선동5가,89,36500,409,2018
52,성북구,상월곡동,80,42885,549,2018
53,성북구,석관동,78,48003,638,2018
54,성북구,성북동,62,34950,509,2018
55,성북구,성북동1가,15,17725,1183,2018
56,성북구,안암동1가,80,56103,729,2018
57,성북구,안암동3가,61,20265,317,2018
58,성북구,안암동4가,57,16375,286,2018
59,성북구,장위동,84,49217,596,2018
60,성북구,정릉동,77,41394,541,2018
61,성북구,종암동,80,50238,642,2018
62,성북구,하월곡동,83,50836,630,2018
63,송파구,가락동,82,75828,965,2018
64,송파구,거여동,68,55074,849,2018
65,송파구,마천동,71,53177,754,2018
66,송파구,문정동,88,90494,1042,2018
67,송파구,방이동,95,100560,1054,2018
68,송파구,삼전동,53,45788,918,2018
69,송파구,석촌동,57,57246,1278,2018
70,송파구,송파동,95,94664,1033,2018
71,송파구,신천동,101,139693,1521,2018
72,송파구,오금동,89,75733,875,2018
73,송파구,잠실동,88,158882,1900,2018
74,송파구,장지동,75,89384,1213,2018
75,송파구,풍납동,77,65699,879,2018
76,강남구,개포동,66,173582,2901,2019
77,강남구,논현동,80,105565,1340,2019
78,강남구,대치동,97,216642,2226,2019
79,강남구,도곡동,111,186429,1721,2019
80,강남구,삼성동,97,185188,1995,2019
81,강남구,세곡동,76,105665,1415,2019
82,강남구,수서동,66,115681,1866,2019
83,강남구,신사동,96,115453,1203,2019
84,강남구,압구정동,121,276701,2372,2019
85,강남구,역삼동,78,143065,1869,2019
86,강남구,율현동,79,105785,1393,2019
87,강남구,일원동,82,147370,1826,2019
88,강남구,자곡동,92,136216,1480,2019
89,강남구,청담동,112,199207,1897,2019
90,강북구,미아동,77,53831,718,2019
91,강북구,번동,67,37056,567,2019
92,강북구,수유동,67,34489,632,2019
93,강북구,우이동,80,38239,474,2019
94,노원구,공릉동,62,39265,660,2019
95,노원구,상계동,61,41495,700,2019
96,노원구,월계동,64,45755,728,2019
97,노원구,중계동,69,50487,721,2019
98,노원구,하계동,68,47694,703,2019
99,도봉구,도봉동,73,36131,493,2019
100,도봉구,방학동,76,37209,493,2019
101,도봉구,쌍문동,66,33114,510,2019
102,도봉구,창동,66,47441,720,2019
103,서초구,내곡동,89,119816,1370,2019
104,서초구,반포동,102,241331,2500,2019
105,서초구,방배동,111,143266,1372,2019
106,서초구,서초동,100,138487,1419,2019
107,서초구,신원동,76,122264,1622,2019
108,서초구,양재동,80,82293,1058,2019
109,서초구,우면동,80,107657,1363,2019
110,서초구,잠원동,87,187167,2177,2019
111,성북구,길음동,79,69747,901,2019
112,성북구,돈암동,80,55898,721,2019
