year,seoul,gu,emd,pop_total,도로명,도로명_합
2018,서울특별시,강남구,청담동,1202416,학동로77길,서울특별시강남구학동로77길
2018,서울특별시,강남구,논현1동,1386987,학동로6길,서울특별시강남구학동로6길
2018,서울특별시,강남구,삼성2동,2836411,학동로56길,서울특별시강남구학동로56길
2018,서울특별시,강남구,논현2동,2027095,학동로38길,서울특별시강남구학동로38길
2018,서울특별시,강남구,삼성1동,1675721,테헤란로81길,서울특별시강남구테헤란로81길
2018,서울특별시,강남구,일원1동,1140300,일원로9길,서울특별시강남구일원로9길
2018,서울특별시,강남구,일원1동,1216392,일원로3길,서울특별시강남구일원로3길
2018,서울특별시,강남구,대치2동,1778436,영동대로65길,서울특별시강남구영동대로65길
2018,서울특별시,강남구,삼성1동,1111028,영동대로112길,서울특별시강남구영동대로112길
2018,서울특별시,강남구,역삼2동,3317112,언주로81길,서울특별시강남구언주로81길
2018,서울특별시,강남구,신사동,1943382,압구정로2길,서울특별시강남구압구정로2길
2018,서울특별시,강남구,개포2동,228916,선릉로18길,서울특별시강남구선릉로18길
2018,서울특별시,강남구,청담동,1591689,선릉로146길,서울특별시강남구선릉로146길
2018,서울특별시,강남구,논현2동,2537078,선릉로133길,서울특별시강남구선릉로133길
2018,서울특별시,강남구,청담동,2762341,선릉로132길,서울특별시강남구선릉로132길
2018,서울특별시,강남구,논현2동,2528058,선릉로121길,서울특별시강남구선릉로121길
2018,서울특별시,강남구,대치4동,3275159,삼성로75길,서울특별시강남구삼성로75길
2018,서울특별시,강남구,대치4동,2472774,삼성로69길,서울특별시강남구삼성로69길
2018,서울특별시,강남구,대치2동,1585054,삼성로64길,서울특별시강남구삼성로64길
2018,서울특별시,강남구,대치4동,2518567,삼성로63길,서울특별시강남구삼성로63길
2018,서울특별시,강남구,대치1동,1998932,삼성로57길,서울특별시강남구삼성로57길
2018,서울특별시,강남구,청담동,1391835,삼성로147길,서울특별시강남구삼성로147길
2018,서울특별시,강남구,삼성2동,1205515,삼성로115길,서울특별시강남구삼성로115길
2018,서울특별시,강남구,삼성2동,1611131,봉은사로68길,서울특별시강남구봉은사로68길
2018,서울특별시,강남구,삼성2동,1418226,봉은사로57길,서울특별시강남구봉은사로57길
2018,서울특별시,강남구,논현2동,2327666,봉은사로43길,서울특별시강남구봉은사로43길
2018,서울특별시,강남구,논현2동,3293587,봉은사로29길,서울특별시강남구봉은사로29길
2018,서울특별시,강남구,삼성1동,1092450,봉은사로109길,서울특별시강남구봉은사로109길
2018,서울특별시,강남구,청담동,741350,도산대로89길,서울특별시강남구도산대로89길
2018,서울특별시,강남구,청담동,1057704,도산대로81길,서울특별시강남구도산대로81길
2018,서울특별시,강남구,논현2동,2231402,도산대로50길,서울특별시강남구도산대로50길
2018,서울특별시,강남구,논현2동,1239544,도산대로38길,서울특별시강남구도산대로38길
2018,서울특별시,강남구,논현2동,1249279,도산대로30길,서울특별시강남구도산대로30길
2018,서울특별시,강남구,신사동,1584482,도산대로23길,서울특별시강남구도산대로23길
2018,서울특별시,강남구,신사동,1711930,도산대로15길,서울특별시강남구도산대로15길
2018,서울특별시,강남구,역삼2동,2067954,도곡로37길,서울특별시강남구도곡로37길
2018,서울특별시,강남구,개포4동,413581,논현로8길,서울특별시강남구논현로8길
2018,서울특별시,강남구,역삼1동,1596831,논현로63길,서울특별시강남구논현로63길
2018,서울특별시,강남구,도곡2동,1164530,논현로28길,서울특별시강남구논현로28길
2018,서울특별시,강남구,도곡2동,1212291,논현로26길,서울특별시강남구논현로26길
2018,서울특별시,강남구,신사동,1900453,논현로159길,서울특별시강남구논현로159길
2018,서울특별시,강남구,논현1동,1822482,논현로139길,서울특별시강남구논현로139길
2018,서울특별시,강남구,논현1동,917206,논현로123길,서울특별시강남구논현로123길
2018,서울특별시,강남구,논현1동,2821530,논현로115길,서울특별시강남구논현로115길
2018,서울특별시,강남구,개포4동,710545,논현로10길,서울특별시강남구논현로10길
2018,서울특별시,강남구,역삼1동,2310475,논현로106길,서울특별시강남구논현로106길
2018,서울특별시,강남구,도곡1동,1696618,남부순환로365길,서울특별시강남구남부순환로365길
2018,서울특별시,강남구,개포2동,124909,개포로82길,서울특별시강남구개포로82길
2018,서울특별시,강남구,개포4동,770631,개포로28길,서울특별시강남구개포로28길
2018,서울특별시,강남구,개포4동,1014247,개포로20길,서울특별시강남구개포로20길
2018,서울특별시,강남구,개포4동,948586,개포로17길,서울특별시강남구개포로17길
2018,서울특별시,강남구,논현1동,2144589,강남대로140길,서울특별시강남구강남대로140길
2018,서울특별시,강남구,논현1동,2072557,강남대로136길,서울특별시강남구강남대로136길
2018,서울특별시,강남구,논현1동,1684287,강남대로118길,서울특별시강남구강남대로118길
2018,서울특별시,강남구,청담동,1243392,학동로77길,서울특별시강남구학동로77길
2018,서울특별시,강남구,논현1동,1448787,학동로6길,서울특별시강남구학동로6길
2018,서울특별시,강남구,삼성2동,2787814,학동로56길,서울특별시강남구학동로56길
2018,서울특별시,강남구,논현2동,1555272,학동로38길,서울특별시강남구학동로38길
2018,서울특별시,강남구,삼성1동,1647361,테헤란로81길,서울특별시강남구테헤란로81길
2018,서울특별시,강남구,일원1동,1141641,일원로9길,서울특별시강남구일원로9길
2018,서울특별시,강남구,일원1동,1206769,일원로3길,서울특별시강남구일원로3길
2018,서울특별시,강남구,대치2동,1842789,영동대로65길,서울특별시강남구영동대로65길
2018,서울특별시,강남구,삼성1동,1125844,영동대로112길,서울특별시강남구영동대로112길
2018,서울특별시,강남구,역삼2동,3353102,언주로81길,서울특별시강남구언주로81길
2018,서울특별시,강남구,신사동,2025871,압구정로2길,서울특별시강남구압구정로2길
2018,서울특별시,강남구,개포2동,177437,선릉로18길,서울특별시강남구선릉로18길
2018,서울특별시,강남구,청담동,1568045,선릉로146길,서울특별시강남구선릉로146길
2018,서울특별시,강남구,논현2동,2541944,선릉로133길,서울특별시강남구선릉로133길
2018,서울특별시,강남구,청담동,2799735,선릉로132길,서울특별시강남구선릉로132길
2018,서울특별시,강남구,논현2동,2489327,선릉로121길,서울특별시강남구선릉로121길
2018,서울특별시,강남구,대치4동,3264777,삼성로75길,서울특별시강남구삼성로75길
2018,서울특별시,강남구,대치4동,2626737,삼성로69길,서울특별시강남구삼성로69길
2018,서울특별시,강남구,대치2동,1727259,삼성로64길,서울특별시강남구삼성로64길
2018,서울특별시,강남구,대치4동,2916267,삼성로63길,서울특별시강남구삼성로63길
2018,서울특별시,강남구,대치1동,2398407,삼성로57길,서울특별시강남구삼성로57길
2018,서울특별시,강남구,청담동,1407316,삼성로147길,서울특별시강남구삼성로147길
2018,서울특별시,강남구,삼성2동,1233617,삼성로115길,서울특별시강남구삼성로115길
2018,서울특별시,강남구,삼성2동,1623362,봉은사로68길,서울특별시강남구봉은사로68길
2018,서울특별시,강남구,삼성2동,1396470,봉은사로57길,서울특별시강남구봉은사로57길
2018,서울특별시,강남구,논현2동,2301714,봉은사로43길,서울특별시강남구봉은사로43길
2018,서울특별시,강남구,논현2동,2790782,봉은사로29길,서울특별시강남구봉은사로29길
2018,서울특별시,강남구,삼성1동,1087668,봉은사로109길,서울특별시강남구봉은사로109길
2018,서울특별시,강남구,청담동,758187,도산대로89길,서울특별시강남구도산대로89길
2018,서울특별시,강남구,청담동,1066033,도산대로81길,서울특별시강남구도산대로81길
2018,서울특별시,강남구,논현2동,2234606,도산대로50길,서울특별시강남구도산대로50길
2018,서울특별시,강남구,논현2동,1238029,도산대로38길,서울특별시강남구도산대로38길
2018,서울특별시,강남구,논현2동,1249998,도산대로30길,서울특별시강남구도산대로30길
2018,서울특별시,강남구,신사동,1638233,도산대로23길,서울특별시강남구도산대로23길
2018,서울특별시,강남구,신사동,1780537,도산대로15길,서울특별시강남구도산대로15길
2018,서울특별시,강남구,역삼2동,2082826,도곡로37길,서울특별시강남구도곡로37길
2018,서울특별시,강남구,개포4동,483446,논현로8길,서울특별시강남구논현로8길
2018,서울특별시,강남구,역삼1동,1690185,논현로63길,서울특별시강남구논현로63길
2018,서울특별시,강남구,도곡2동,1214462,논현로28길,서울특별시강남구논현로28길
2018,서울특별시,강남구,도곡2동,1301185,논현로26길,서울특별시강남구논현로26길
2018,서울특별시,강남구,신사동,1958383,논현로159길,서울특별시강남구논현로159길
2018,서울특별시,강남구,논현1동,1815302,논현로139길,서울특별시강남구논현로139길
2018,서울특별시,강남구,논현1동,969190,논현로123길,서울특별시강남구논현로123길
2018,서울특별시,강남구,논현1동,2609812,논현로115길,서울특별시강남구논현로115길
2018,서울특별시,강남구,개포4동,793967,논현로10길,서울특별시강남구논현로10길
2018,서울특별시,강남구,역삼1동,2401690,논현로106길,서울특별시강남구논현로106길
2018,서울특별시,강남구,도곡1동,1442298,남부순환로365길,서울특별시강남구남부순환로365길
2018,서울특별시,강남구,개포2동,148539,개포로82길,서울특별시강남구개포로82길
2018,서울특별시,강남구,개포4동,828273,개포로28길,서울특별시강남구개포로28길
2018,서울특별시,강남구,개포4동,1092667,개포로20길,서울특별시강남구개포로20길
2018,서울특별시,강남구,개포4동,1026907,개포로17길,서울특별시강남구개포로17길
2018,서울특별시,강남구,논현1동,2135404,강남대로140길,서울특별시강남구강남대로140길
2018,서울특별시,강남구,논현1동,2138483,강남대로136길,서울특별시강남구강남대로136길
2018,서울특별시,강남구,논현1동,1670881,강남대로118길,서울특별시강남구강남대로118길
2018,서울특별시,강남구,청담동,1304003,학동로77길,서울특별시강남구학동로77길
2018,서울특별시,강남구,논현1동,1538715,학동로6길,서울특별시강남구학동로6길
2018,서울특별시,강남구,삼성2동,2882885,학동로56길,서울특별시강남구학동로56길
2018,서울특별시,강남구,논현2동,1534777,학동로38길,서울특별시강남구학동로38길
2018,서울특별시,강남구,삼성1동,1666318,테헤란로81길,서울특별시강남구테헤란로81길
2018,서울특별시,강남구,일원1동,1129465,일원로9길,서울특별시강남구일원로9길
2018,서울특별시,강남구,일원1동,1218176,일원로3길,서울특별시강남구일원로3길
2018,서울특별시,강남구,대치2동,1815917,영동대로65길,서울특별시강남구영동대로65길
2018,서울특별시,강남구,삼성1동,1054180,영동대로112길,서울특별시강남구영동대로112길
2018,서울특별시,강남구,역삼2동,3284145,언주로81길,서울특별시강남구언주로81길
2018,서울특별시,강남구,신사동,2005660,압구정로2길,서울특별시강남구압구정로2길
2018,서울특별시,강남구,개포2동,203438,선릉로18길,서울특별시강남구선릉로18길
2018,서울특별시,강남구,청담동,1682153,선릉로146길,서울특별시강남구선릉로146길
2018,서울특별시,강남구,논현2동,2522402,선릉로133길,서울특별시강남구선릉로133길
2018,서울특별시,강남구,청담동,2912117,선릉로132길,서울특별시강남구선릉로132길
2018,서울특별시,강남구,논현2동,2474401,선릉로121길,서울특별시강남구선릉로121길
2018,서울특별시,강남구,대치4동,3097990,삼성로75길,서울특별시강남구삼성로75길
2018,서울특별시,강남구,대치4동,2348148,삼성로69길,서울특별시강남구삼성로69길
2018,서울특별시,강남구,대치2동,1623244,삼성로64길,서울특별시강남구삼성로64길
2018,서울특별시,강남구,대치4동,2399075,삼성로63길,서울특별시강남구삼성로63길
2018,서울특별시,강남구,대치1동,1857961,삼성로57길,서울특별시강남구삼성로57길
2018,서울특별시,강남구,청담동,1445166,삼성로147길,서울특별시강남구삼성로147길
2018,서울특별시,강남구,삼성2동,1169133,삼성로115길,서울특별시강남구삼성로115길
2018,서울특별시,강남구,삼성2동,1570285,봉은사로68길,서울특별시강남구봉은사로68길
2018,서울특별시,강남구,삼성2동,1448905,봉은사로57길,서울특별시강남구봉은사로57길
2018,서울특별시,강남구,논현2동,2363893,봉은사로43길,서울특별시강남구봉은사로43길
2018,서울특별시,강남구,논현2동,3169731,봉은사로29길,서울특별시강남구봉은사로29길
2018,서울특별시,강남구,삼성1동,1016258,봉은사로109길,서울특별시강남구봉은사로109길
2018,서울특별시,강남구,청담동,779541,도산대로89길,서울특별시강남구도산대로89길
2018,서울특별시,강남구,청담동,1051609,도산대로81길,서울특별시강남구도산대로81길
2018,서울특별시,강남구,논현2동,2255957,도산대로50길,서울특별시강남구도산대로50길
2018,서울특별시,강남구,논현2동,1320996,도산대로38길,서울특별시강남구도산대로38길
2018,서울특별시,강남구,논현2동,1331289,도산대로30길,서울특별시강남구도산대로30길
2018,서울특별시,강남구,신사동,1708640,도산대로23길,서울특별시강남구도산대로23길
2018,서울특별시,강남구,신사동,1841903,도산대로15길,서울특별시강남구도산대로15길
2018,서울특별시,강남구,역삼2동,2126924,도곡로37길,서울특별시강남구도곡로37길
2018,서울특별시,강남구,개포4동,444970,논현로8길,서울특별시강남구논현로8길
2018,서울특별시,강남구,역삼1동,1688181,논현로63길,서울특별시강남구논현로63길
2018,서울특별시,강남구,도곡2동,1204684,논현로28길,서울특별시강남구논현로28길
2018,서울특별시,강남구,도곡2동,1247956,논현로26길,서울특별시강남구논현로26길
2018,서울특별시,강남구,신사동,1944187,논현로159길,서울특별시강남구논현로159길
2018,서울특별시,강남구,논현1동,1950620,논현로139길,서울특별시강남구논현로139길
2018,서울특별시,강남구,논현1동,981541,논현로123길,서울특별시강남구논현로123길
2018,서울특별시,강남구,논현1동,3054929,논현로115길,서울특별시강남구논현로115길
2018,서울특별시,강남구,개포4동,792685,논현로10길,서울특별시강남구논현로10길
2018,서울특별시,강남구,역삼1동,2719839,논현로106길,서울특별시강남구논현로106길
2018,서울특별시,강남구,도곡1동,1271066,남부순환로365길,서울특별시강남구남부순환로365길
2018,서울특별시,강남구,개포2동,134029,개포로82길,서울특별시강남구개포로82길
2018,서울특별시,강남구,개포4동,793736,개포로28길,서울특별시강남구개포로28길
2018,서울특별시,강남구,개포4동,1088049,개포로20길,서울특별시강남구개포로20길
2018,서울특별시,강남구,개포4동,988569,개포로17길,서울특별시강남구개포로17길
2018,서울특별시,강남구,논현1동,2213541,강남대로140길,서울특별시강남구강남대로140길
2018,서울특별시,강남구,논현1동,2212644,강남대로136길,서울특별시강남구강남대로136길
2018,서울특별시,강남구,논현1동,1847877,강남대로118길,서울특별시강남구강남대로118길
2018,서울특별시,강남구,청담동,1206765,학동로77길,서울특별시강남구학동로77길
2018,서울특별시,강남구,논현1동,1611156,학동로6길,서울특별시강남구학동로6길
2018,서울특별시,강남구,삼성2동,2848052,학동로56길,서울특별시강남구학동로56길
2018,서울특별시,강남구,논현2동,1492605,학동로38길,서울특별시강남구학동로38길
2018,서울특별시,강남구,삼성1동,1693364,테헤란로81길,서울특별시강남구테헤란로81길
2018,서울특별시,강남구,일원1동,1111390,일원로9길,서울특별시강남구일원로9길
2018,서울특별시,강남구,일원1동,1239690,일원로3길,서울특별시강남구일원로3길
2018,서울특별시,강남구,대치2동,1689937,영동대로65길,서울특별시강남구영동대로65길
2018,서울특별시,강남구,삼성1동,1061235,영동대로112길,서울특별시강남구영동대로112길
2018,서울특별시,강남구,역삼2동,3150564,언주로81길,서울특별시강남구언주로81길
2018,서울특별시,강남구,신사동,1945905,압구정로2길,서울특별시강남구압구정로2길
2018,서울특별시,강남구,개포2동,208314,선릉로18길,서울특별시강남구선릉로18길
2018,서울특별시,강남구,청담동,1650712,선릉로146길,서울특별시강남구선릉로146길
2018,서울특별시,강남구,논현2동,2459792,선릉로133길,서울특별시강남구선릉로133길
2018,서울특별시,강남구,청담동,2764060,선릉로132길,서울특별시강남구선릉로132길
2018,서울특별시,강남구,논현2동,2410471,선릉로121길,서울특별시강남구선릉로121길
2018,서울특별시,강남구,대치4동,3051774,삼성로75길,서울특별시강남구삼성로75길
2018,서울특별시,강남구,대치4동,2281578,삼성로69길,서울특별시강남구삼성로69길
2018,서울특별시,강남구,대치2동,1573801,삼성로64길,서울특별시강남구삼성로64길
2018,서울특별시,강남구,대치4동,2451396,삼성로63길,서울특별시강남구삼성로63길
2018,서울특별시,강남구,대치1동,2018248,삼성로57길,서울특별시강남구삼성로57길
2018,서울특별시,강남구,청담동,1364698,삼성로147길,서울특별시강남구삼성로147길
2018,서울특별시,강남구,삼성2동,1050353,삼성로115길,서울특별시강남구삼성로115길
2018,서울특별시,강남구,삼성2동,1484086,봉은사로68길,서울특별시강남구봉은사로68길
2018,서울특별시,강남구,삼성2동,1403929,봉은사로57길,서울특별시강남구봉은사로57길
2018,서울특별시,강남구,논현2동,2277036,봉은사로43길,서울특별시강남구봉은사로43길
2018,서울특별시,강남구,논현2동,2912288,봉은사로29길,서울특별시강남구봉은사로29길
2018,서울특별시,강남구,삼성1동,984472,봉은사로109길,서울특별시강남구봉은사로109길
2018,서울특별시,강남구,청담동,760053,도산대로89길,서울특별시강남구도산대로89길
2018,서울특별시,강남구,청담동,1021951,도산대로81길,서울특별시강남구도산대로81길
2018,서울특별시,강남구,논현2동,2212397,도산대로50길,서울특별시강남구도산대로50길
2018,서울특별시,강남구,논현2동,1258017,도산대로38길,서울특별시강남구도산대로38길
2018,서울특별시,강남구,논현2동,1266536,도산대로30길,서울특별시강남구도산대로30길
2018,서울특별시,강남구,신사동,1637352,도산대로23길,서울특별시강남구도산대로23길
2018,서울특별시,강남구,신사동,1654396,도산대로15길,서울특별시강남구도산대로15길
2018,서울특별시,강남구,역삼2동,1904083,도곡로37길,서울특별시강남구도곡로37길
2018,서울특별시,강남구,개포4동,427820,논현로8길,서울특별시강남구논현로8길
2018,서울특별시,강남구,역삼1동,1675502,논현로63길,서울특별시강남구논현로63길
2018,서울특별시,강남구,도곡2동,1149802,논현로28길,서울특별시강남구논현로28길
2018,서울특별시,강남구,도곡2동,1200908,논현로26길,서울특별시강남구논현로26길
2018,서울특별시,강남구,신사동,1836326,논현로159길,서울특별시강남구논현로159길
2018,서울특별시,강남구,논현1동,1877841,논현로139길,서울특별시강남구논현로139길
2018,서울특별시,강남구,논현1동,1005167,논현로123길,서울특별시강남구논현로123길
2018,서울특별시,강남구,논현1동,2858464,논현로115길,서울특별시강남구논현로115길
2018,서울특별시,강남구,개포4동,738215,논현로10길,서울특별시강남구논현로10길
2018,서울특별시,강남구,역삼1동,2600550,논현로106길,서울특별시강남구논현로106길
2018,서울특별시,강남구,도곡1동,1352608,남부순환로365길,서울특별시강남구남부순환로365길
2018,서울특별시,강남구,개포2동,139339,개포로82길,서울특별시강남구개포로82길
2018,서울특별시,강남구,개포4동,800018,개포로28길,서울특별시강남구개포로28길
2018,서울특별시,강남구,개포4동,1029365,개포로20길,서울특별시강남구개포로20길
2018,서울특별시,강남구,개포4동,985431,개포로17길,서울특별시강남구개포로17길
2018,서울특별시,강남구,논현1동,2265360,강남대로140길,서울특별시강남구강남대로140길
2018,서울특별시,강남구,논현1동,2252861,강남대로136길,서울특별시강남구강남대로136길
2018,서울특별시,강남구,논현1동,1738121,강남대로118길,서울특별시강남구강남대로118길
2018,서울특별시,강북구,수유3동,1994530,한천로140길,서울특별시강북구한천로140길
2018,서울특별시,강북구,수유3동,3028761,한천로139가길,서울특별시강북구한천로139가길
2018,서울특별시,강북구,번1동,2975307,한천로132길,서울특별시강북구한천로132길
