표준ID,ARS-ID,정류소명,X좌표,Y좌표,NUMPOINTS
"100000001","1001",종로2가사거리,126.9877861534,37.5697641508,"0"
"100000002","1002",창경궁.서울대학교병원,126.9965201597,37.5791788583,"0"
"100000003","1003",명륜3가.성대입구,126.9982901625,37.5827088189,"0"
"100000004","1004",종로2가.삼일교,126.9875072018,37.5685822333,"0"
"100000005","1005",혜화동로터리.여운형활동터,127.0016943494,37.5862299819,"0"
"101000305","1006",서대문역사거리,126.966960795,37.5662075233,"0"
"100000380","1007",서울역사박물관.경희궁앞,126.9704199006,37.569098089,"0"
"100000379","1008",서울역사박물관.경희궁앞,126.970441967,37.5693360157,"0"
"100000384","1009",광화문,126.9752405641,37.5700507533,"0"
"100000385","1010",광화문,126.9780908549,37.5702957096,"0"
"100000386","1011",종로1가,126.981,37.570072,"0"
"100000387","1012",종로1가,126.9813905902,37.5702666069,"0"
"100000388","1013",종로2가,126.985541114,37.570087252,"0"
"100000389","1014",종로2가,126.9862540445,37.5702679499,"0"
"100000390","1015",종로3가.탑골공원,126.9895689652,37.5701875394,"0"
"100000391","1016",종로3가.탑골공원,126.9899682503,37.5703886931,"0"
"100000392","1017",종로4가.종묘,126.9947286676,37.5704168801,"0"
"100000393","1018",종로4가.종묘,126.9952769536,37.5706002885,"0"
"100000394","1019",종로5가.광장시장,126.9988533013,37.5707157083,"0"
"100000395","1020",종로5가.광장시장,126.9993198827,37.5709076392,"0"
"100000396","1021",종로6가.동대문종합시장,127.0034688409,37.5709177804,"0"
"100000397","1022",종로6가.동대문종합시장,127.0057093611,37.571151812,"0"
"100000398","1023",동대문역.흥인지문,127.0134620695,37.5722800814,"0"
"100000365","1037",동대문(흥인지문),127.0124927764,37.5721671928,"0"
"100000366","1041",동묘앞,127.017533,37.573432,"0"
"100000367","1044",동묘앞,127.0196389758,37.57430372,"0"
"100000006","1101",경기상고,126.9694326007,37.5875738987,"0"
"100000007","1102",신교동,126.9703409831,37.5833029548,"0"
"100000008","1103",경기상고,126.9696701141,37.5871710777,"0"
"100000009","1104",경복고교,126.9710437135,37.5851124767,"0"
"100000010","1105",청운중학교,126.9725944389,37.5879008533,"0"
"100000011","1106",자하문고개.윤동주문학관,126.9671282401,37.5921935787,"0"
"100000012","1107",자하문고개.윤동주문학관,126.9671676756,37.5922574065,"0"
"100000013","1108",청운중학교,126.9724614507,37.5881286565,"0"
"100000014","1109",경복고교,126.9711479623,37.5850459315,"0"
"100000015","1110",통인시장종로구보건소,126.9711088601,37.5803317347,"0"
"100000016","1111",통인시장종로구보건소,126.971244042,37.5804892941,"0"
"100000017","1112",효자동,126.9705347538,37.5830818402,"0"
"100000018","1113",사직단.어린이도서관,126.9680206454,37.5751125217,"0"
"100000019","1114",사직동주민센터,126.971317861,37.5760900645,"0"
"100000020","1115",경복궁역,126.9722922115,37.5768887748,"0"
"100000021","1116",경복궁역,126.9721843535,37.5776406417,"0"
"100000022","1117",경복궁,126.9787904859,37.5757714873,"0"
"100000023","1118",KT광화문지사,126.9772022826,37.5724045047,"0"
"100000025","1120",광화문,126.9764106652,37.5700398187,"0"
"100000028","1123",서울역사박물관.경교장.강북삼성병원,126.9713844203,37.5699306396,"0"
"100000029","1124",광화문.금호아시아나본관앞,126.9731310593,37.5702090071,"0"
"100000030","1125",광화문,126.9757675414,37.5702390837,"0"
"100000031","1126",세종문화회관,126.9767121653,37.5726609499,"0"
