index,g3b4,gu,dong,high_count,low_count,high_bus_sum,low_bus_sum,high_sub_average,low_sub_average,year
1,1,강남구,개포동,1,0,5,0,1029.502173,0,2018
2,1,강남구,논현동,20,2,52,7,419.2474405,421.1096065,2018
3,1,강남구,대치동,26,3,45,4,514.5925852,565.141633,2018
4,1,강남구,도곡동,6,1,28,4,413.8844456,162.1827515,2018
5,1,강남구,삼성동,20,1,45,0,470.4565013,750.7241388,2018
6,1,강남구,수서동,3,2,19,14,201.9995147,114.5381038,2018
7,1,강남구,신사동,15,3,22,3,430.6322704,353.9016153,2018
8,1,강남구,압구정동,1,0,0,0,923.8794372,0,2018
9,1,강남구,역삼동,39,5,114,6,358.6699974,471.7779982,2018
10,1,강남구,일원동,2,0,3,0,421.7437032,0,2018
11,1,강남구,청담동,15,1,26,2,426.5044828,573.1077694,2018
12,0,강북구,미아동,3,1,16,3,363.6799498,122.5741837,2018
13,0,강북구,번동,2,0,14,0,558.622614,0,2018
14,0,강북구,수유동,2,1,13,1,644.0123087,622.0901597,2018
15,0,강북구,우이동,0,2,0,4,0,232.3377718,2018
16,0,노원구,공릉동,2,1,9,4,592.1451669,501.3873928,2018
17,0,노원구,상계동,5,3,14,9,390.4602533,281.5728713,2018
18,0,노원구,월계동,2,1,6,1,242.1688964,369.5545938,2018
19,0,노원구,중계동,2,1,9,4,1157.976546,1384.42069,2018
20,0,도봉구,도봉동,0,0,0,0,0,0,2018
21,0,도봉구,방학동,0,0,0,0,0,0,2018
22,0,도봉구,쌍문동,0,0,0,0,0,0,2018
23,0,도봉구,창동,1,0,5,0,81.13501854,0,2018
24,1,서초구,반포동,12,4,36,9,446.4990705,199.0738138,2018
25,1,서초구,방배동,13,1,63,5,348.2441162,326.2074043,2018
26,1,서초구,서초동,40,3,202,13,490.4534778,251.9380961,2018
27,1,서초구,신원동,1,0,1,0,197.6100625,0,2018
28,1,서초구,양재동,4,0,14,0,480.296348,0,2018
29,1,서초구,잠원동,9,0,25,0,478.4978106,0,2018
30,0,성북구,길음동,1,1,4,11,670.5105075,114.3318205,2018
31,0,성북구,돈암동,0,0,0,0,0,0,2018
32,0,성북구,동선동1가,0,1,0,3,0,126.3517485,2018
33,0,성북구,동선동2가,1,0,1,0,311.0068229,0,2018
34,0,성북구,동선동4가,0,1,0,3,0,101.8764413,2018
35,0,성북구,동소문동1가,0,1,0,7,0,69.3654099,2018
36,0,성북구,동소문동2가,1,0,5,0,42.58094564,0,2018
37,0,성북구,삼선동1가,1,0,3,0,156.8451536,0,2018
38,0,성북구,석관동,0,0,0,0,0,0,2018
39,0,성북구,성북동1가,1,0,5,0,252.4552003,0,2018
