index,g3b4,gu,dong,high_count,low_count,high_bus_sum,low_bus_sum,high_sub_average,low_sub_average,average_trade,average_sizetrade,year
1,1,강남구,개포동,1,0,5,0,1029.502173,0,142210.628,2350.950643,2018
2,1,강남구,논현동,20,2,52,7,419.2474405,421.1096065,113205.618,1199.528213,2018
3,1,강남구,대치동,26,3,45,4,514.5925852,565.141633,190018.3445,1929.110361,2018
4,1,강남구,도곡동,6,1,28,4,413.8844456,162.1827515,162690.8718,1478.389307,2018
5,1,강남구,삼성동,20,1,45,0,470.4565013,750.7241388,172511.3712,1773.421078,2018
6,1,강남구,수서동,3,2,19,14,201.9995147,114.5381038,104124.417,1755.884568,2018
7,1,강남구,신사동,15,3,22,3,430.6322704,353.9016153,121770.2128,1089.923219,2018
8,1,강남구,압구정동,1,0,0,0,923.8794372,0,263775,2294.912258,2018
9,1,강남구,역삼동,39,5,114,6,358.6699974,471.7779982,106648.4725,1418.038794,2018
10,1,강남구,일원동,2,0,3,0,421.7437032,0,132168.1208,1634.041831,2018
11,1,강남구,청담동,15,1,26,2,426.5044828,573.1077694,175336.2705,1690.052161,2018
12,0,강북구,미아동,3,1,16,3,363.6799498,122.5741837,46644.73434,611.8330187,2018
13,0,강북구,번동,2,0,14,0,558.622614,0,34048.94336,516.0534501,2018
14,0,강북구,수유동,2,1,13,1,644.0123087,622.0901597,35191.66667,460.7615411,2018
15,0,강북구,우이동,0,2,0,4,0,232.3377718,38089.70588,465.2595899,2018
16,0,노원구,공릉동,2,1,9,4,592.1451669,501.3873928,36689.59829,559.0819312,2018
17,0,노원구,상계동,5,3,14,9,390.4602533,281.5728713,36681.00648,619.5435142,2018
18,0,노원구,월계동,2,1,6,1,242.1688964,369.5545938,37543.50588,602.4324346,2018
19,0,노원구,중계동,2,1,9,4,1157.976546,1384.42069,43074.9917,620.5742915,2018
20,0,도봉구,도봉동,0,0,0,0,0,0,33292.33953,443.7081465,2018
21,0,도봉구,방학동,0,0,0,0,0,0,33934.16016,447.1936961,2018
22,0,도봉구,쌍문동,0,0,0,0,0,0,30064.04881,447.239137,2018
23,0,도봉구,창동,1,0,5,0,81.13501854,0,40886.4833,608.136497,2018
