,year,gu_num,gu,dong,average_sizetrade,high_count,low_count,high_bus_sum,low_bus_sum,high_sub_average,low_sub_average,pop_avg
0,2018,1,강남구,개포동,2350.950643,1,0,5,0,1029.502388,0.0,626308.1786
1,2018,1,강남구,논현동,1199.528213,20,1,52,2,419.2480443,134.404242,2002405.05
2,2018,1,강남구,대치동,1929.110361,26,0,45,0,514.592509,0.0,2275592.792
3,2018,1,강남구,도곡동,1478.389307,6,1,28,4,413.8850339,162.1827515,1288200.667
4,2018,1,강남구,삼성동,1773.421078,20,0,45,0,470.4559891,0.0,1542359.75
5,2018,1,강남구,신사동,1089.923219,15,1,22,0,430.6318527,331.7606131,1819852.5
6,2018,1,강남구,역삼동,1418.038794,39,1,114,2,358.6700777,738.2979011,2373122.688
7,2018,1,강남구,일원동,1634.041831,2,0,3,0,421.7435267,0.0,1175477.875
8,2018,1,강남구,청담동,1690.052161,15,1,26,2,426.5047618,573.1094421,1480536.292
9,2018,0,강북구,미아동,611.8330187,3,1,16,3,363.6794227,122.5749729,1682818.618
10,2018,0,강북구,번동,516.0534501,2,0,14,0,558.6244254,0.0,2258421.714
11,2018,0,강북구,수유동,460.7615411,2,0,13,0,644.013008,0.0,1630526.25
12,2018,0,노원구,공릉동,559.0819312,2,0,9,0,592.1435482,0.0,3356690.875
13,2018,0,노원구,상계동,619.5435142,5,1,14,3,390.4611246,303.7043618,2196320.214
14,2018,0,노원구,월계동,602.4324346,2,0,6,0,242.1693317,0.0,1069711.0
15,2018,0,도봉구,창동,608.136497,1,0,5,0,81.13411121,0.0,1391477.813
16,2018,1,서초구,반포동,2178.668139,12,0,36,0,446.4993938,0.0,1576875.286
17,2018,1,서초구,방배동,1130.640017,13,0,63,0,348.2441858,0.0,1765567.156
18,2018,1,서초구,서초동,1184.745723,40,1,202,1,490.453673,377.3082953,1569786.063
19,2018,1,서초구,양재동,897.161169,4,0,14,0,480.2967163,0.0,966158.4
20,2018,1,서초구,잠원동,1896.8602,9,0,25,0,478.4969564,0.0,2126309.5
21,2018,0,성북구,길음동,740.3221328,1,0,4,0,670.5119973,0.0,1261111.75
22,2018,0,성북구,성북동1가,1222.115385,1,0,5,0,252.4509408,0.0,1535164.25
23,2018,0,성북구,종암동,649.1062637,2,1,6,3,647.2615498,700.6974275,1037639.05
24,2018,0,성북구,하월곡동,637.4392474,2,0,7,0,358.1179234,0.0,1725981.958
25,2018,1,송파구,가락동,975.1223802,4,0,9,0,364.7105378,0.0,1462972.857
26,2018,1,송파구,문정동,1052.300928,9,4,17,2,274.597692,444.6238171,1597754.5
27,2018,1,송파구,방이동,1060.671256,8,0,12,0,361.9144767,0.0,1780476.333
28,2018,1,송파구,삼전동,935.8953677,1,0,0,0,352.3536538,0.0,1474302.313
29,2018,1,송파구,석촌동,1324.295785,1,0,2,0,410.1456636,0.0,1234030.583
30,2018,1,송파구,송파동,1042.206309,2,0,2,0,356.4598817,0.0,1728181.25
31,2018,1,송파구,오금동,883.5990464,2,0,5,0,190.955578,0.0,966751.0
32,2018,1,송파구,잠실동,1920.396177,7,0,9,0,551.5557456,0.0,2816561.0
33,2019,1,강남구,개포동,2932.417325,2,2,10,6,1029.502388,224.137474,2266556.643
34,2019,1,강남구,논현동,1352.569954,33,0,88,0,404.3768752,0.0,4358954.467
35,2019,1,강남구,대치동,2243.137717,45,3,89,6,498.3012048,394.9298148,5485300.667
36,2019,1,강남구,도곡동,1735.652185,10,1,45,4,401.5929615,162.1827515,3266264.917
37,2019,1,강남구,삼성동,2009.326252,40,0,91,0,493.8896327,0.0,3519992.429
38,2019,1,강남구,신사동,1211.551705,24,2,35,3,423.8824425,239.7998586,3658521.688
39,2019,1,강남구,역삼동,1889.298801,71,1,219,2,367.4317029,738.2979011,5222072.938
40,2019,1,강남구,일원동,1845.202396,3,0,3,0,559.7684015,0.0,3873881.625
41,2019,1,강남구,청담동,1912.007224,22,1,35,2,418.486704,573.1094421,3847604.0
42,2019,0,강북구,미아동,726.8358235,6,3,32,13,363.6794227,238.4367464,5543737.882
43,2019,0,강북구,번동,573.9428328,3,0,22,0,564.3394772,0.0,5592191.357
44,2019,0,강북구,수유동,652.3042819,3,3,20,9,637.1105876,715.4257568,5338450.981
45,2019,0,노원구,공릉동,667.9926339,4,1,18,2,592.1435482,376.7402812,7650483.75
46,2019,0,노원구,상계동,708.0721203,9,6,24,26,414.9915631,400.8911301,6164501.857
47,2019,0,노원구,월계동,735.4433222,4,2,12,16,242.1693317,114.4159353,4228675.75
48,2019,0,도봉구,창동,727.0568837,2,1,10,3,81.13411121,678.9023723,5543762.188
49,2019,1,서초구,반포동,2525.146243,21,0,65,0,434.9979032,0.0,3807264.821
50,2019,1,서초구,방배동,1383.469488,23,1,111,1,357.0332624,539.212603,4216611.766
51,2019,1,서초구,서초동,1430.183586,62,3,314,4,496.2030684,396.7845763,3663214.938
52,2019,1,서초구,양재동,1065.099185,7,0,25,0,521.5547781,0.0,2846241.4
53,2019,1,서초구,잠원동,2195.161706,18,1,52,2,486.0621923,152.1148231,4516311.0
54,2019,0,성북구,길음동,912.4889391,2,1,8,4,670.5119973,317.6705495,4312648.25
55,2019,0,성북구,성북동1가,1017.779912,2,0,10,0,252.4509408,0.0,3480174.75
56,2019,0,성북구,종암동,842.9869618,4,1,12,3,647.2615498,700.6974275,4006531.25
57,2019,0,성북구,하월곡동,769.0470092,4,2,14,5,358.1179234,459.5024375,4925843.292
58,2019,1,송파구,가락동,1160.098416,8,2,18,0,364.7105378,237.1591559,4688107.429
59,2019,1,송파구,문정동,1202.009909,14,3,27,0,289.4826146,579.1680937,5205779.75
60,2019,1,송파구,방이동,1391.856587,13,0,19,0,383.1624167,0.0,5390823.583
61,2019,1,송파구,삼전동,974.8478836,2,1,0,1,352.3536538,580.5165257,5209704.438
62,2019,1,송파구,석촌동,1255.201327,2,0,4,0,410.1456636,0.0,4919906.75
63,2019,1,송파구,송파동,1190.897966,4,0,4,0,356.4598817,0.0,5195866.167
64,2019,1,송파구,오금동,1064.06023,4,0,10,0,190.955578,0.0,3237592.75
65,2019,1,송파구,잠실동,2097.699456,10,0,12,0,536.7830134,0.0,8211541.0
66,2020,1,강남구,개포동,2733.658239,1,2,5,6,1029.502388,224.137474,2238836.929
67,2020,1,강남구,논현동,1554.149738,23,1,61,3,398.502725,712.6296709,4429965.417
68,2020,1,강남구,대치동,2340.773948,33,5,64,7,491.2767835,512.2294936,5611517.833
69,2020,1,강남구,도곡동,2029.138322,8,0,33,0,442.3554989,0.0,3305493.0
70,2020,1,강남구,삼성동,1859.013645,27,1,54,3,458.9198642,393.8056095,3461443.0
71,2020,1,강남구,신사동,1310.66642,19,3,29,5,392.6816789,340.3763086,3608338.688
72,2020,1,강남구,역삼동,1835.192123,48,1,137,2,348.7068282,738.2979011,5328652.813
73,2020,1,강남구,일원동,2167.414826,2,0,3,0,421.7435267,0.0,3715174.0
74,2020,1,강남구,청담동,1987.420771,15,1,26,2,426.5047618,573.1094421,4092532.25
75,2020,0,강북구,미아동,855.273448,3,3,16,13,363.6794227,238.4367464,5618776.765
