year,gu_num,gu,dong,high_count,low_count,high_bus_sum,low_bus_sum,high_sub_average,low_sub_average
2018,1,강남구,개포동,1,0,5,0,1029.502388,0
2018,1,강남구,논현동,20,1,52,2,419.2480443,134.404242
2018,1,강남구,대치4동,0,3,0,4,0,565.1435442
2018,1,강남구,대치동,26,0,45,0,514.592509,0
2018,1,강남구,도곡동,6,1,28,4,413.8850339,162.1827515
2018,1,강남구,삼성1동,0,1,0,0,0,750.724741
2018,1,강남구,삼성동,20,0,45,0,470.4559891,0
2018,1,강남구,수서동,3,2,19,14,201.9991273,114.539594
2018,1,강남구,신사동,15,1,22,0,430.6318527,331.7606131
2018,1,강남구,압구정동,1,2,0,3,923.8802857,364.9715134
2018,1,강남구,역삼1동,0,4,0,4,0,405.1492541
2018,1,강남구,역삼동,39,1,114,2,358.6700777,738.2979011
2018,1,강남구,일원동,2,0,3,0,421.7435267,0
2018,1,강남구,청담동,15,1,26,2,426.5047618,573.1094421
2018,0,강북구,미아동,3,1,16,3,363.6794227,122.5749729
2018,0,강북구,번동,2,0,14,0,558.6244254,0
2018,0,강북구,수유3동,0,1,0,1,0,622.0929975
2018,0,강북구,수유동,2,0,13,0,644.013008,0
2018,0,강북구,우이동,0,2,0,4,0,232.3377683
2018,0,노원구,공릉2동,0,1,0,4,0,501.3907687
2018,0,노원구,공릉동,2,0,9,0,592.1435482,0
2018,0,노원구,상계2동,0,1,0,2,0,427.8082753
2018,0,노원구,상계6.7동,0,1,0,4,0,113.2077274
2018,0,노원구,상계동,5,1,14,3,390.4611246,303.7043618
2018,0,노원구,월계1동,0,1,0,1,0,369.555172
2018,0,노원구,월계동,2,0,6,0,242.1693317,0
2018,0,노원구,중계1동,0,1,0,4,0,1384.419797
2018,0,노원구,중계동,2,0,9,0,1157.976393,0
2018,0,도봉구,창동,1,0,5,0,81.13411121,0
2018,1,서초구,반포4동,0,4,0,9,0,199.0736334
2018,1,서초구,반포동,12,0,36,0,446.4993938,0
2018,1,서초구,방배동,13,0,63,0,348.2441858,0
2018,1,서초구,서초2동,0,1,0,7,0,145.1832169
2018,1,서초구,서초동,40,1,202,1,490.453673,377.3082953
2018,1,서초구,신원동,1,0,1,0,197.6080291,0
2018,1,서초구,양재동,4,0,14,0,480.2967163,0
2018,1,서초구,잠원동,9,0,25,0,478.4969564,0
2018,0,성북구,길음1동,0,1,0,11,0,114.331109
2018,0,성북구,길음동,1,0,4,0,670.5119973,0
2018,0,성북구,동선동,0,1,0,3,0,126.351658
2018,0,성북구,동선동2가,1,0,1,0,311.0055052,0
2018,0,성북구,동선동4가,0,1,0,3,0,101.8765653
2018,0,성북구,동소문동1가,0,1,0,7,0,69.36719767
2018,0,성북구,동소문동2가,1,0,5,0,42.58356246,0
2018,0,성북구,삼선동1가,1,0,3,0,156.8462591,0
2018,0,성북구,성북동1가,1,0,5,0,252.4509408,0
2018,0,성북구,안암동,0,1,0,4,0,93.36521618
2018,0,성북구,안암동5가,8,1,26,4,180.7010367,101.9786463
2018,0,성북구,월곡2동,0,1,0,5,0,147.4904083
2018,0,성북구,종암동,2,1,6,3,647.2615498,700.6974275
2018,0,성북구,하월곡동,2,0,7,0,358.1179234,0
2018,1,송파구,가락동,4,0,9,0,364.7105378,0
2018,1,송파구,가락본동,0,2,0,2,0,167.4688945
2018,1,송파구,거여2동,0,1,0,2,0,383.8384167
2018,1,송파구,문정동,9,4,17,2,274.597692,444.6238171
2018,1,송파구,방이1동,0,1,0,2,0,229.7528138
2018,1,송파구,방이동,8,0,12,0,361.9144767,0
2018,1,송파구,삼전동,1,0,0,0,352.3536538,0
2018,1,송파구,석촌동,1,0,2,0,410.1456636,0
2018,1,송파구,송파동,2,0,2,0,356.4598817,0
2018,1,송파구,신천동,5,2,13,1,280.3919227,380.3311371
2018,1,송파구,오금동,2,0,5,0,190.955578,0
2018,1,송파구,잠실2동,0,1,0,4,0,143.4224428
2018,1,송파구,잠실6동,0,3,0,0,0,494.7177412
2018,1,송파구,잠실동,7,0,9,0,551.5557456,0
2018,1,송파구,잠실본동,0,1,0,2,0,474.5445856
2018,1,송파구,장지동,2,0,6,0,1749.685832,0
2019,1,강남구,개포동,2,2,10,6,1029.502388,224.137474
2019,1,강남구,논현동,33,0,88,0,404.3768752,0
2019,1,강남구,대치4동,0,3,0,4,0,565.1435442
2019,1,강남구,대치동,45,3,89,6,498.3012048,394.9298148
2019,1,강남구,도곡동,10,1,45,4,401.5929615,162.1827515
2019,1,강남구,삼성1동,0,2,0,2,0,665.8592318
2019,1,강남구,삼성동,40,0,91,0,493.8896327,0
2019,1,강남구,수서동,4,2,26,14,180.134244,114.539594
2019,1,강남구,신사동,24,2,35,3,423.8824425,239.7998586
2019,1,강남구,압구정동,1,2,0,3,923.8802857,364.9715134
2019,1,강남구,역삼1동,0,5,0,11,0,386.0645174
2019,1,강남구,역삼동,71,1,219,2,367.4317029,738.2979011
2019,1,강남구,일원동,3,0,3,0,559.7684015,0
2019,1,강남구,청담동,22,1,35,2,418.486704,573.1094421
2019,0,강북구,미아동,6,3,32,13,363.6794227,238.4367464
2019,0,강북구,번동,3,0,22,0,564.3394772,0
2019,0,강북구,수유3동,0,1,0,1,0,622.0929975
2019,0,강북구,수유동,3,3,20,9,637.1105876,715.4257568
2019,0,강북구,우이동,0,3,0,6,0,237.2395226
2019,0,노원구,공릉2동,0,1,0,4,0,501.3907687
2019,0,노원구,공릉동,4,1,18,2,592.1435482,376.7402812
2019,0,노원구,상계2동,0,1,0,2,0,427.8082753
2019,0,노원구,상계6.7동,0,1,0,4,0,113.2077274
2019,0,노원구,상계동,9,6,24,26,414.9915631,400.8911301
2019,0,노원구,월계1동,0,1,0,1,0,369.555172
2019,0,노원구,월계동,4,2,12,16,242.1693317,114.4159353
2019,0,노원구,중계1동,0,1,0,4,0,1384.419797
2019,0,노원구,중계동,3,3,13,11,1169.395216,779.5164227
2019,0,도봉구,창동,2,1,10,3,81.13411121,678.9023723
2019,1,서초구,반포4동,0,4,0,9,0,199.0736334
2019,1,서초구,반포동,21,0,65,0,434.9979032,0
2019,1,서초구,방배동,23,1,111,1,357.0332624,539.212603
2019,1,서초구,서초2동,0,1,0,7,0,145.1832169
2019,1,서초구,서초동,62,3,314,4,496.2030684,396.7845763
2019,1,서초구,신원동,2,0,2,0,197.6080291,0
2019,1,서초구,양재동,7,0,25,0,521.5547781,0
2019,1,서초구,잠원동,18,1,52,2,486.0621923,152.1148231
2019,0,성북구,길음1동,0,1,0,11,0,114.331109
2019,0,성북구,길음동,2,1,8,4,670.5119973,317.6705495
2019,0,성북구,동선동,0,1,0,3,0,126.351658
2019,0,성북구,동선동2가,2,0,2,0,311.0055052,0
2019,0,성북구,동선동4가,0,1,0,3,0,101.8765653
2019,0,성북구,동소문동1가,0,1,0,7,0,69.36719767
2019,0,성북구,동소문동2가,2,0,10,0,42.58356246,0
2019,0,성북구,삼선동1가,1,0,3,0,156.8462591,0
2019,0,성북구,성북동1가,2,0,10,0,252.4509408,0
2019,0,성북구,안암동,0,1,0,4,0,93.36521618
2019,0,성북구,안암동5가,13,1,41,4,198.2460359,101.9786463
2019,0,성북구,월곡2동,0,1,0,5,0,147.4904083
2019,0,성북구,종암동,4,1,12,3,647.2615498,700.6974275
2019,0,성북구,하월곡동,4,2,14,5,358.1179234,459.5024375
2019,1,송파구,가락동,8,2,18,0,364.7105378,237.1591559
2019,1,송파구,가락본동,0,2,0,2,0,167.4688945
2019,1,송파구,거여2동,0,1,0,2,0,383.8384167
2019,1,송파구,문정동,14,3,27,0,289.4826146,579.1680937
2019,1,송파구,방이1동,0,1,0,2,0,229.7528138
2019,1,송파구,방이동,13,0,19,0,383.1624167,0
2019,1,송파구,삼전동,2,1,0,1,352.3536538,580.5165257
2019,1,송파구,석촌동,2,0,4,0,410.1456636,0
2019,1,송파구,송파동,4,0,4,0,356.4598817,0
2019,1,송파구,신천동,9,2,26,1,283.2727471,380.3311371
2019,1,송파구,오금동,4,0,10,0,190.955578,0
2019,1,송파구,잠실2동,0,1,0,4,0,143.4224428
2019,1,송파구,잠실6동,0,4,0,1,0,474.649343
2019,1,송파구,잠실동,10,0,12,0,536.7830134,0
2019,1,송파구,잠실본동,0,1,0,2,0,474.5445856
2019,1,송파구,장지동,3,1,9,3,1749.685832,1507.813281
2020,1,강남구,개포동,1,2,5,6,1029.502388,224.137474
2020,1,강남구,논현동,23,1,61,3,398.502725,712.6296709
2020,1,강남구,대치4동,0,1,0,2,0,634.5264522
2020,1,강남구,대치동,33,5,64,7,491.2767835,512.2294936
2020,1,강남구,도곡동,8,0,33,0,442.3554989,0
2020,1,강남구,삼성1동,0,1,0,2,0,580.9937226
2020,1,강남구,삼성동,27,1,54,3,458.9198642,393.8056095
2020,1,강남구,수서동,4,1,21,7,230.3605725,114.539594
2020,1,강남구,신사동,19,3,29,5,392.6816789,340.3763086
2020,1,강남구,압구정동,1,2,0,3,923.8802857,364.9715134
2020,1,강남구,역삼1동,0,4,0,14,0,395.5864567
2020,1,강남구,역삼동,48,1,137,2,348.7068282,738.2979011
2020,1,강남구,일원동,2,0,3,0,421.7435267,0
2020,1,강남구,청담동,15,1,26,2,426.5047618,573.1094421
2020,0,강북구,미아동,3,3,16,13,363.6794227,238.4367464
2020,0,강북구,번동,2,0,14,0,558.6244254,0
2020,0,강북구,수유3동,0,1,0,1,0,622.0929975
2020,0,강북구,수유동,2,3,13,9,644.013008,715.4257568
2020,0,강북구,우이동,0,3,0,6,0,237.2395226
2020,0,노원구,공릉2동,0,1,0,4,0,501.3907687
2020,0,노원구,공릉동,2,1,10,2,137.9151539,376.7402812
2020,0,노원구,상계2동,0,2,0,9,0,342.7954717
2020,0,노원구,상계6.7동,0,1,0,4,0,113.2077274
2020,0,노원구,상계동,7,8,25,34,374.947574,357.7706793
2020,0,노원구,월계1동,0,1,0,1,0,369.555172
2020,0,노원구,월계동,3,2,8,16,234.8277851,114.4159353
2020,0,노원구,중계1동,0,1,0,4,0,1384.419797
2020,0,노원구,중계동,2,3,9,11,1157.976393,779.5164227
2020,0,도봉구,창동,2,1,8,3,546.4017011,678.9023723
2020,1,서초구,반포4동,0,3,0,7,0,213.2521704
2020,1,서초구,반포동,13,0,42,0,455.9675084,0
2020,1,서초구,방배동,16,1,72,1,357.891178,539.212603
2020,1,서초구,서초2동,0,1,0,7,0,145.1832169
2020,1,서초구,서초동,44,4,222,5,508.0903233,364.7477118
2020,1,서초구,신원동,1,0,1,0,197.6080291,0
2020,1,서초구,양재동,3,0,13,0,422.3121287,0
2020,1,서초구,잠원동,11,2,30,8,530.9856791,292.6892811
2020,0,성북구,길음1동,0,1,0,11,0,114.331109
2020,0,성북구,길음동,2,1,8,4,566.1621387,317.6705495
2020,0,성북구,동선동,0,1,0,3,0,126.351658
2020,0,성북구,동선동2가,1,0,1,0,311.0055052,0
2020,0,성북구,동선동4가,0,1,0,3,0,101.8765653
2020,0,성북구,동소문동1가,0,1,0,7,0,69.36719767
2020,0,성북구,동소문동2가,1,0,5,0,42.58356246,0
2020,0,성북구,삼선동1가,1,0,3,0,156.8462591,0
2020,0,성북구,성북동1가,1,0,5,0,252.4509408,0
2020,0,성북구,안암동,0,1,0,4,0,93.36521618
2020,0,성북구,안암동5가,7,1,22,4,192.4383731,101.9786463
2020,0,성북구,월곡2동,0,1,0,5,0,147.4904083
2020,0,성북구,종암동,2,1,6,3,647.2615498,700.6974275
2020,0,성북구,하월곡동,2,2,7,5,358.1179234,459.5024375
2020,1,송파구,가락동,6,4,9,12,507.1389523,346.1999102
2020,1,송파구,가락본동,0,1,0,0,0,273.345854
2020,1,송파구,거여2동,0,1,0,2,0,383.8384167
2020,1,송파구,문정동,10,4,17,0,336.4624127,536.1680433
2020,1,송파구,방이1동,0,1,0,2,0,229.7528138
2020,1,송파구,방이동,11,0,18,0,359.9196478,0
2020,1,송파구,삼전동,1,1,0,1,352.3536538,580.5165257
2020,1,송파구,석촌동,2,0,4,0,410.1456636,0
2020,1,송파구,송파동,3,0,4,0,311.2939435,0
2020,1,송파구,신천동,7,2,13,5,249.4899746,204.2989003
2020,1,송파구,오금동,2,0,5,0,190.955578,0
2020,1,송파구,잠실2동,0,1,0,4,0,143.4224428
2020,1,송파구,잠실6동,0,4,0,1,0,474.649343
2020,1,송파구,잠실동,7,1,9,4,551.5557456,177.9502036
2020,1,송파구,잠실본동,0,1,0,2,0,474.5445856
2020,1,송파구,장지동,2,1,6,3,1749.685832,1507.813281
