year,gu_num,gu,dong,size,trade,sizetrade,average_sizetrade
2018,1,강남구,개포동,79,130000,1645.56962,2350.950643
2018,1,강남구,논현동,129,88700,687.5968992,1199.528213
2018,1,강남구,대치동,127,265000,2086.614173,1929.110361
2018,1,강남구,도곡동,63,61700,979.3650794,1478.389307
2018,1,강남구,삼성동,36,36000,1000,1773.421078
2018,1,강남구,세곡동,114,95000,833.3333333,1268.301391
2018,1,강남구,수서동,146,245000,1678.082192,1755.884568
2018,1,강남구,신사동,84,79000,940.4761905,1089.923219
2018,1,강남구,압구정동,193,348500,1805.699482,2294.912258
2018,1,강남구,역삼동,62,48500,782.2580645,1418.038794
2018,1,강남구,율현동,59,70000,1186.440678,1223.610835
2018,1,강남구,일원동,75,128500,1713.333333,1634.041831
2018,1,강남구,자곡동,114,119000,1043.859649,1347.276421
2018,1,강남구,청담동,171,230000,1345.02924,1690.052161
2018,0,강북구,미아동,84,41500,494.047619,611.8330187
2018,0,강북구,번동,59,24200,410.1694915,516.0534501
2018,0,강북구,수유동,52,23000,442.3076923,460.7615411
2018,0,강북구,우이동,84,41000,488.0952381,465.2595899
2018,0,노원구,공릉동,17,17200,1011.764706,559.0819312
2018,0,노원구,상계동,59,25000,423.7288136,619.5435142
2018,0,노원구,월계동,84,41200,490.4761905,602.4324346
2018,0,노원구,중계동,75,37000,493.3333333,620.5742915
2018,0,노원구,하계동,53,32000,603.7735849,608.2706271
2018,0,도봉구,도봉동,84,29500,351.1904762,443.7081465
2018,0,도봉구,방학동,59,26900,455.9322034,447.1936961
2018,0,도봉구,쌍문동,84,43900,522.6190476,447.239137
2018,0,도봉구,창동,55,34500,627.2727273,608.136497
2018,1,서초구,내곡동,114,112500,986.8421053,1248.948231
2018,1,서초구,반포동,180,148500,825,2178.668139
2018,1,서초구,방배동,84,94000,1119.047619,1130.640017
2018,1,서초구,서초동,82,66500,810.9756098,1184.745723
2018,1,서초구,신원동,114,113500,995.6140351,1448.408849
2018,1,서초구,양재동,75,49000,653.3333333,897.161169
2018,1,서초구,우면동,44,43000,977.2727273,1144.847974
2018,1,서초구,잠원동,84,137500,1636.904762,1896.8602
2018,0,성북구,길음동,114,59500,521.9298246,740.3221328
2018,0,성북구,돈암동,54,15000,277.7777778,598.5837832
