,cafe_nm,gu_cd,gu_x,dong_cd,dong,gibun,road_x,lng,lat,year,bus_cnt,HubName,HubDist,cafe_cd,pop,pop_avg,gu_num,gu,apt_name,size,trade_year,month,day,trade,floor,byear,sizetrade,average_sizetrade
0,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 168-26,서울특별시 강남구 테헤란로103길,127.0638782,37.51003785,2018,4,봉은사역,528.7142159,1,2836411,1542360,1,강남구,LG선릉에클라트(A),36,201802,2,10,36000,4,2003,1000,1773.421078
1,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 1-3,서울특별시 강남구 도산대로,127.0206347,37.5161838,2018,4,신사역,416.5557704,1,1386987,2002405,1,강남구,e-편한세상,129,201803,3,30,88700,1,2005,687.5968992,1199.528213
2,스타벅스올림픽평화의문점,11710,송파구,1171011100,방이동,서울특별시 송파구 방이동 180-8,서울특별시 송파구 위례성대로,127.1163168,37.51578507,2018,1,한성백제역,128.2706625,1,2698844,1780476,1,송파구,AQUADCASAS,59,201810,10,6,44000,3,2004,745.7627119,1060.671256
3,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 159,서울특별시 강남구 영동대로,127.0571003,37.5129394,2018,2,봉은사역,580.9937226,1,2836411,1542360,1,강남구,LG선릉에클라트(A),36,201802,2,10,36000,4,2003,1000,1773.421078
4,스타벅스가락시장역점,11710,송파구,1171010700,가락동,서울특별시 송파구 가락동 79,서울특별시 송파구 중대로,127.1215333,37.49440578,2018,4,가락시장역,336.5374226,1,1260494,1462973,1,송파구,sk파크타워,84,201801,1,14,63000,13,2003,750,975.1223802
5,스타벅스석촌역,11710,송파구,1171010500,석촌동,서울특별시 송파구 석촌동 286-9,서울특별시 송파구 백제고분로,127.1060134,37.50424607,2018,2,석촌역,410.1456636,1,1313259,1234031,1,송파구,(54-31),55,201809,9,1,35500,6,2011,645.4545455,1324.295785
6,스타벅스,11290,성북구,1129013600,하월곡동,서울특별시 성북구 하월곡동 46-73,서울특별시 성북구 화랑로,127.0404418,37.60181969,2018,2,월곡역,87.6379335,1,1847200,1725982,0,성북구,광남캐스빌,84,201801,1,20,38700,5,2008,460.7142857,637.4392474
7,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 1024,서울특별시 강남구 도곡로,127.0552134,37.4966152,2018,2,한티역,430.3577046,1,1778436,2275593,1,강남구,개포우성1,127,201801,1,1,265000,11,1983,2086.614173,1929.110361
8,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1318-8,서울특별시 서초구 강남대로,127.0268289,37.49825898,2018,6,강남역,739.5168793,1,1760812,1569786,1,서초구,(1617-21),82,201806,6,18,66500,5,2007,810.9756098,1184.745723
9,스타벅스압구정로데오역,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 84-3,서울특별시 강남구 선릉로,127.0405131,37.52653786,2018,0,압구정로데오역,329.2740261,1,1202416,1480536,1,강남구,강변상지리츠빌,171,201801,1,9,230000,4,2001,1345.02924,1690.052161
10,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 53,서울특별시 강남구 학동로,127.0514396,37.51868785,2018,4,강남구청역,374.9339911,1,2836411,1542360,1,강남구,LG선릉에클라트(A),36,201802,2,10,36000,4,2003,1000,1773.421078
11,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1439-14,서울특별시 서초구 남부순환로339길,127.0215728,37.48591615,2018,3,남부터미널역,555.1464061,1,1760812,1569786,1,서초구,(1617-21),82,201806,6,18,66500,5,2007,810.9756098,1184.745723
12,스타벅스강남삼성타운점,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1327-5,서울특별시 서초구 서초대로78길,127.027735,37.49553624,2018,7,강남역,440.2828511,1,1760812,1569786,1,서초구,(1617-21),82,201806,6,18,66500,5,2007,810.9756098,1184.745723
13,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 241-7,서울특별시 강남구 선릉로,127.0412398,37.51660516,2018,4,강남구청역,559.6768298,1,1386987,2002405,1,강남구,e-편한세상,129,201803,3,30,88700,1,2005,687.5968992,1199.528213
15,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 830-69,서울특별시 강남구 역삼로,127.0330005,37.49412876,2018,2,강남역,281.4706558,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
16,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 507,서울특별시 강남구 남부순환로,127.0619041,37.49334362,2018,4,대치역,177.358406,1,1778436,2275593,1,강남구,개포우성1,127,201801,1,1,265000,11,1983,2086.614173,1929.110361
17,스타벅스,11710,송파구,1171010100,잠실동,서울특별시 송파구 잠실동 175,서울특별시 송파구 백제고분로,127.0790291,37.51052638,2018,3,종합운동장역,422.6868442,1,2768448,2816561,1,송파구,갤러리아팰리스,176,201801,1,4,161000,7,2005,914.7727273,1920.396177
21,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 851-1,서울특별시 서초구 방배로,126.9924576,37.49001452,2018,5,내방역,219.7676714,1,1405194,1765567,1,서초구,SK리더스뷰(파스텔시티),84,201802,2,12,94000,15,2006,1119.047619,1130.640017
22,스타벅스이수역점,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 3000-1,서울특별시 서초구 동작대로,126.9826899,37.4864978,2018,5,이수역,199.3060185,1,1405194,1765567,1,서초구,SK리더스뷰(파스텔시티),84,201802,2,12,94000,15,2006,1119.047619,1130.640017
23,스타벅스방배카페입구,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 755-14,서울특별시 서초구 방배중앙로,126.9856769,37.49723701,2018,2,구반포역,491.7656392,1,1405194,1765567,1,서초구,SK리더스뷰(파스텔시티),84,201802,2,12,94000,15,2006,1119.047619,1130.640017
24,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 51,서울특별시 강남구 삼성로,127.0527047,37.51347189,2018,2,중앙역,421.7534022,1,2836411,1542360,1,강남구,LG선릉에클라트(A),36,201802,2,10,36000,4,2003,1000,1773.421078
26,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 238-5,서울특별시 강남구 언주로,127.0357413,37.51491147,2018,5,학동역,357.7623964,1,1386987,2002405,1,강남구,e-편한세상,129,201803,3,30,88700,1,2005,687.5968992,1199.528213
27,스타벅스,11305,강북구,1130510200,번동,서울특별시 강북구 번동 418-17,서울특별시 강북구 도봉로,127.0261078,37.63802308,2018,8,수유역,575.7695808,1,2975307,2258422,0,강북구,기산그린,59,201801,1,8,24200,2,2000,410.1694915,516.0534501
28,스타벅스중계역점,11350,노원구,1135010500,상계동,서울특별시 노원구 상계동 763-3,서울특별시 노원구 동일로,127.0621587,37.64815447,2018,4,노원역,607.0047261,1,1369917,2196320,0,노원구,건영,59,201803,3,29,25000,14,2003,423.7288136,619.5435142
29,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 735-3,서울특별시 강남구 테헤란로,127.0337924,37.49937038,2018,1,동오역,155.4724923,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
30,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 92-1,서울특별시 서초구 서래로,126.9985423,37.49925701,2018,5,신반포역,493.8283553,1,2446508,1576875,1,서초구,APELBAUM,180,201808,8,10,148500,2,2005,825,2178.668139
31,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 736-1,서울특별시 강남구 테헤란로,127.0349412,37.49974019,2018,2,동오역,71.73484192,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
32,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 748-1,서울특별시 서초구 강남대로,127.023627,37.50531485,2018,5,신논현역,757.8237384,1,2446508,1576875,1,서초구,APELBAUM,180,201808,8,10,148500,2,2005,825,2178.668139
