year,road,pop,gu,dong,pop_avg
2018,풍성로25길,1906413,송파구,풍납동,1927959.5
2018,오금로46길,1260494,송파구,가락동,1462972.857
2018,오금로36길,1165411,송파구,가락동,1462972.857
2018,오금로11길,2698844,송파구,방이동,1780476.333
2018,양재대로72길,946502,송파구,오금동,966751
2018,양재대로71길,1203840,송파구,방이동,1780476.333
2018,양재대로64길,1902567,송파구,가락동,1462972.857
2018,양재대로62길,1447181,송파구,가락동,1462972.857
2018,송파대로30길,1996755,송파구,가락동,1462972.857
2018,송이로36길,1525212,송파구,문정동,1597754.5
2018,송이로32길,1445301,송파구,문정동,1597754.5
2018,송이로23길,1470050,송파구,가락동,1462972.857
2018,삼전로13길,2768448,송파구,잠실동,2816561
2018,백제고분로50길,1426378,송파구,방이동,1780476.333
2018,백제고분로46길,1690107,송파구,송파동,1728181.25
2018,백제고분로45길,2037307,송파구,송파동,1728181.25
2018,백제고분로42길,1479760,송파구,송파동,1728181.25
2018,백제고분로39길,1313259,송파구,석촌동,1234030.583
2018,백제고분로34길,841609,송파구,석촌동,1234030.583
2018,백제고분로33길,1352459,송파구,석촌동,1234030.583
2018,백제고분로32길,773701,송파구,삼전동,1474302.313
2018,백제고분로31길,2178527,송파구,삼전동,1474302.313
2018,백제고분로22길,859975,송파구,삼전동,1474302.313
2018,백제고분로21길,1887140,송파구,삼전동,1474302.313
2018,마천로51길,971971,송파구,마천동,1034683
2018,동남로20길,1430659,송파구,가락동,1462972.857
2018,거마로20길,1111283,송파구,마천동,1034683
2018,학동로77길,1202416,강남구,청담동,1480536.292
2018,학동로6길,1386987,강남구,논현동,2002405.05
2018,학동로56길,2836411,강남구,삼성동,1542359.75
2018,학동로38길,2027095,강남구,논현동,2002405.05
2018,테헤란로81길,1675721,강남구,삼성동,1542359.75
2018,일원로9길,1140300,강남구,일원동,1175477.875
2018,일원로3길,1216392,강남구,일원동,1175477.875
2018,영동대로65길,1778436,강남구,대치동,2275592.792
2018,영동대로112길,1111028,강남구,삼성동,1542359.75
2018,언주로81길,3317112,강남구,역삼동,2373122.688
2018,압구정로2길,1943382,강남구,신사동,1819852.5
2018,선릉로18길,228916,강남구,개포동,626308.1786
2018,선릉로146길,1591689,강남구,청담동,1480536.292
2018,선릉로133길,2537078,강남구,논현동,2002405.05
2018,선릉로132길,2762341,강남구,청담동,1480536.292
2018,선릉로121길,2528058,강남구,논현동,2002405.05
2018,삼성로75길,3275159,강남구,대치동,2275592.792
2018,삼성로69길,2472774,강남구,대치동,2275592.792
2018,삼성로64길,1585054,강남구,대치동,2275592.792
2018,삼성로63길,2518567,강남구,대치동,2275592.792
2018,삼성로57길,1998932,강남구,대치동,2275592.792
2018,삼성로147길,1391835,강남구,청담동,1480536.292
2018,삼성로115길,1205515,강남구,삼성동,1542359.75
2018,봉은사로68길,1611131,강남구,삼성동,1542359.75
2018,봉은사로57길,1418226,강남구,삼성동,1542359.75
2018,봉은사로43길,2327666,강남구,논현동,2002405.05
2018,봉은사로29길,3293587,강남구,논현동,2002405.05
2018,봉은사로109길,1092450,강남구,삼성동,1542359.75
2018,도산대로89길,741350,강남구,청담동,1480536.292
2018,도산대로81길,1057704,강남구,청담동,1480536.292
2018,도산대로50길,2231402,강남구,논현동,2002405.05
2018,도산대로38길,1239544,강남구,논현동,2002405.05
2018,도산대로30길,1249279,강남구,논현동,2002405.05
2018,도산대로23길,1584482,강남구,신사동,1819852.5
2018,도산대로15길,1711930,강남구,신사동,1819852.5
2018,도곡로37길,2067954,강남구,역삼동,2373122.688
2018,논현로8길,413581,강남구,개포동,626308.1786
2018,논현로63길,1596831,강남구,역삼동,2373122.688
2018,논현로28길,1164530,강남구,도곡동,1288200.667
2018,논현로26길,1212291,강남구,도곡동,1288200.667
2018,논현로159길,1900453,강남구,신사동,1819852.5
2018,논현로139길,1822482,강남구,논현동,2002405.05
2018,논현로123길,917206,강남구,논현동,2002405.05
2018,논현로115길,2821530,강남구,논현동,2002405.05
2018,논현로10길,710545,강남구,개포동,626308.1786
2018,논현로106길,2310475,강남구,역삼동,2373122.688
2018,남부순환로365길,1696618,강남구,도곡동,1288200.667
2018,개포로82길,124909,강남구,개포동,626308.1786
2018,개포로28길,770631,강남구,개포동,626308.1786
2018,개포로20길,1014247,강남구,개포동,626308.1786
2018,개포로17길,948586,강남구,개포동,626308.1786
2018,강남대로140길,2144589,강남구,논현동,2002405.05
2018,강남대로136길,2072557,강남구,논현동,2002405.05
2018,강남대로118길,1684287,강남구,논현동,2002405.05
2018,서초중앙로8길,1760812,서초구,서초동,1569786.063
2018,방배중앙로21길,1405194,서초구,방배동,1765567.156
2018,효령로72길,1340370,서초구,서초동,1569786.063
2018,효령로34길,1127437,서초구,방배동,1765567.156
2018,효령로31길,1561210,서초구,방배동,1765567.156
2018,효령로23길,1609606,서초구,방배동,1765567.156
2018,청두곶길,1913038,서초구,방배동,1765567.156
2018,주흥길,2446508,서초구,반포동,1576875.286
2018,주흥15길,2301394,서초구,반포동,1576875.286
2018,언남길,854228,서초구,양재동,966158.4
2018,신반포로45길,2131041,서초구,잠원동,2126309.5
2018,서초대로8길,1230697,서초구,방배동,1765567.156
2018,서초대로64길,1304576,서초구,서초동,1569786.063
2018,서초대로4길,3217073,서초구,방배동,1765567.156
2018,서초대로25길,1625902,서초구,방배동,1765567.156
2018,서초대로23길,1473319,서초구,방배동,1765567.156
2018,서초대로15길,1354659,서초구,방배동,1765567.156
2018,사평대로57길,2986031,서초구,반포동,1576875.286
2018,사평대로26길,559856,서초구,반포동,1576875.286
2018,사평대로22길,781424,서초구,반포동,1576875.286
2018,사임당로17길,2805291,서초구,서초동,1569786.063
2018,방배로42길,1222676,서초구,방배동,1765567.156
2018,방배로35길,1541290,서초구,방배동,1765567.156
2018,방배로18길,1263125,서초구,방배동,1765567.156
2018,반포대로9길,941347,서초구,서초동,1569786.063
2018,바우뫼로39길,1196648,서초구,양재동,966158.4
2018,마방로2길,818107,서초구,양재동,966158.4
2018,방배천로4안길,2387146,서초구,방배동,1765567.156
2018,동산로19길,985682,서초구,양재동,966158.4
2018,동산로10길,849209,서초구,양재동,966158.4
2018,동광로39길,753274,서초구,반포동,1576875.286
2018,동광로1길,1010403,서초구,방배동,1765567.156
2018,동광로12길,3605058,서초구,방배동,1765567.156
2018,논현로27길,1151063,서초구,양재동,966158.4
2018,논현로1길,842087,서초구,양재동,966158.4
2018,남부순환로339길,854749,서초구,서초동,1569786.063
2018,남부순환로325길,1750012,서초구,서초동,1569786.063
2018,남부순환로317길,1487233,서초구,서초동,1569786.063
2018,고무래로8길,1212620,서초구,반포동,1576875.286
2018,강남대로8길,980649,서초구,양재동,966158.4
2018,강남대로34길,1877588,서초구,양재동,966158.4
2018,강남대로23길,481632,서초구,양재동,966158.4
2018,한글비석로44길,1369917,노원구,상계동,2196320.214
2018,한글비석로24길,2007007,노원구,상계동,2196320.214
2018,한글비석로22길,1597471,노원구,상계동,2196320.214
2018,석계로1길,1307504,노원구,월계동,1069711
2018,상계로9가길,2507809,노원구,상계동,2196320.214
2018,상계로1길,2701329,노원구,상계동,2196320.214
2018,상계로12길,2415662,노원구,상계동,2196320.214
2018,동일로242길,756325,노원구,상계동,2196320.214
2018,동일로192길,3752718,노원구,공릉동,3356690.875
2018,동일로173가길,2570076,노원구,공릉동,3356690.875
2018,공릉로58길,630354,노원구,하계동,768858.5
2018,해등로16길,897869,도봉구,창동,1391477.813
2018,우이천로4다길,710256,도봉구,창동,1391477.813
2018,우이천로32길,744442,도봉구,쌍문동,1562427.875
2018,시루봉로23길,483168,도봉구,방학동,1190994.818
2018,삼양로144길,527315,도봉구,쌍문동,1562427.875
2018,방학로6가길,1455046,도봉구,방학동,1190994.818
2018,방학로5길,1599974,도봉구,방학동,1190994.818
2018,방학로15길,463686,도봉구,방학동,1190994.818
2018,방학로10길,1037659,도봉구,방학동,1190994.818
2018,도봉산길,207875,도봉구,도봉동,335250.2917
2018,도봉산4길,65771,도봉구,도봉동,335250.2917
2018,도봉로181길,389213,도봉구,도봉동,335250.2917
2018,도봉로169나길,386507,도봉구,도봉동,335250.2917
2018,도봉로156길,499346,도봉구,도봉동,335250.2917
2018,도봉로152가길,332069,도봉구,도봉동,335250.2917
2018,도봉로147길,1102629,도봉구,방학동,1190994.818
2018,도봉로143길,959123,도봉구,방학동,1190994.818
2018,도봉로114길,2608087,도봉구,창동,1391477.813
2018,도봉로109길,1946908,도봉구,쌍문동,1562427.875
2018,도당로29길,880408,도봉구,방학동,1190994.818
2018,도당로19길,803550,도봉구,방학동,1190994.818
2018,도당로13바길,1023719,도봉구,방학동,1190994.818
2018,도당로13가길,1167647,도봉구,방학동,1190994.818
2018,덕릉로60길,706392,노원구,월계동,1069711
2018,노해로63다길,479599,도봉구,창동,1391477.813
2018,노해로60길,2434670,도봉구,쌍문동,1562427.875
2018,한천로140길,1994530,강북구,수유동,1630526.25
2018,한천로139가길,3028761,강북구,수유동,1630526.25
2018,한천로132길,2975307,강북구,번동,2258421.714
2018,한천로130길,1662761,강북구,번동,2258421.714
2018,한천로124나길,1895748,강북구,번동,2258421.714
2018,한천로109길,733273,강북구,번동,2258421.714
2018,인수봉로79길,453704,강북구,수유동,1630526.25
2018,인수봉로72길,1095059,강북구,수유동,1630526.25
2018,인수봉로56길,1009523,강북구,수유동,1630526.25
2018,오패산로67길,3506540,강북구,번동,2258421.714
2018,오패산로52길,1093873,강북구,미아동,1682818.618
2018,오패산로30길,1303244,강북구,미아동,1682818.618
2018,수유로12길,2261559,강북구,수유동,1630526.25
2018,솔샘로65길,1517742,강북구,미아동,1682818.618
2018,솔매로50길,2287267,강북구,미아동,1682818.618
2018,솔매로45길,1425213,강북구,미아동,1682818.618
2018,솔매로41길,1707499,강북구,미아동,1682818.618
2018,삼양로93길,1187821,강북구,수유동,1630526.25
2018,삼양로77길,885512,강북구,수유동,1630526.25
2018,삼양로54길,1400998,강북구,미아동,1682818.618
