상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,bus_cnt,HubName,HubDist,star,coffee,paul,mega,com,paik,high,low,total
25964875,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 936-15,서울특별시 강남구 선릉로64길,127.0537151,37.49794579,2020,2,한티역,234.1068249,87,79,15,7,5,11,181,23,204
20015708,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1457-1,서울특별시 서초구 효령로,127.0141978,37.48438612,2020,4,남부터미널역,271.456342,45,34,9,5,1,9,88,15,103
22934175,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 529-10,서울특별시 강남구 논현로175길,127.0216293,37.52318421,2020,2,신사역,468.307786,87,79,15,7,5,11,181,23,204
28520216,스타벅스,11305,강북구,1130510100,미아동,서울특별시 강북구 미아동 35-30,서울특별시 강북구 도봉로,127.0306855,37.61184062,2020,6,미아사거리역,355.3941609,5,2,0,9,0,2,7,11,18
16095836,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 114-9,서울특별시 강남구 봉은사로,127.048501,37.51135667,2020,1,중앙역,31.89276591,87,79,15,7,5,11,181,23,204
16129812,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 907-1,서울특별시 서초구 방배로,126.9960731,37.48433262,2020,4,방배역,348.1819014,45,34,9,5,1,9,88,15,103
20385969,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 70-1,서울특별시 서초구 잠원로,127.006958,37.51024881,2020,4,반포역,482.2761921,45,34,9,5,1,9,88,15,103
23224039,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 52-1,서울특별시 강남구 도산대로,127.0515717,37.52433852,2020,1,청담역,680.1970474,87,79,15,7,5,11,181,23,204
23517515,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 118-3,서울특별시 서초구 사평대로,127.0078261,37.50448036,2020,0,고속터미널역,262.3461547,45,34,9,5,1,9,88,15,103
5133712,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 159,서울특별시 강남구 영동대로,127.0571003,37.5129394,2020,2,봉은사역,580.9937226,87,79,15,7,5,11,181,23,204
20430267,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 216-5,서울특별시 강남구 논현로,127.032255,37.5115851,2020,2,학동역,304.1307396,87,79,15,7,5,11,181,23,204
20482725,스타벅스,11680,강남구,1168010300,개포동,서울특별시 강남구 개포동 1229-1,서울특별시 강남구 논현로,127.0451163,37.47781003,2020,5,매봉역,1029.502388,87,79,15,7,5,11,181,23,204
25928281,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 52-17,서울특별시 강남구 삼성로,127.051147,37.51767632,2020,2,강남구청역,350.3978899,87,79,15,7,5,11,181,23,204
